Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...hedpics/otherreplicates/125_rep3_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...hedpics/otherreplicates/125_rep3_4x_stitched_stack-MaxIP-fit
0.000000000,0.007579522,0.007343589
2.022471910,0.007278017,0.007343590
4.044943820,0.007653464,0.007343591
6.067415730,0.007503982,0.007343594
8.089887640,0.007553938,0.007343601
10.112359551,0.007539084,0.007343616
12.134831461,0.007551931,0.007343651
14.157303371,0.007720649,0.007343723
16.179775281,0.007883656,0.007343875
18.202247191,0.007790499,0.007344182
20.224719101,0.007861601,0.007344789
22.247191011,0.007957449,0.007345958
24.269662921,0.008269266,0.007348152
26.292134831,0.008038587,0.007352166
28.314606742,0.008136492,0.007359319
30.337078652,0.008131788,0.007371738
32.359550562,0.008001166,0.007392743
34.382022472,0.008300570,0.007427345
36.404494382,0.008580897,0.007482850
38.426966292,0.009318066,0.007569535
40.449438202,0.009325537,0.007701305
42.471910112,0.009051395,0.007896212
44.494382022,0.009611236,0.008176655
46.516853933,0.010045491,0.008569019
48.539325843,0.011507869,0.009102550
50.561797753,0.011974207,0.009807260
52.584269663,0.012146547,0.010710782
54.606741573,0.012276015,0.011834268
56.629213483,0.012801235,0.013187652
58.651685393,0.014823290,0.014764830
60.674157303,0.016930214,0.016539547
62.696629213,0.017180040,0.018462857
64.719101124,0.019234713,0.020462996
66.741573034,0.020466164,0.022448250
68.764044944,0.022603045,0.024312992
70.786516854,0.027031765,0.025946502
72.808988764,0.027664592,0.027243636
74.831460674,0.028385263,0.028115959
76.853932584,0.029233393,0.028501695
78.876404494,0.028395133,0.028372962
80.898876404,0.027620035,0.027739102
82.921348315,0.028104914,0.026645563
84.943820225,0.025075520,0.025168511
86.966292135,0.023284543,0.023406058
88.988764045,0.022658787,0.021467526
91.011235955,0.020670043,0.019462345
93.033707865,0.016112366,0.017490155
95.056179775,0.014274402,0.015633291
97.078651685,0.013177013,0.013952312
99.101123596,0.011711497,0.012484676
101.123595506,0.010324123,0.011246163
103.146067416,0.010321342,0.010234310
105.168539326,0.009762230,0.009432981
107.191011236,0.008670366,0.008817232
109.213483146,0.008431687,0.008357789
111.235955056,0.007909033,0.008024694
113.258426966,0.007756209,0.007789926
115.280898876,0.007496880,0.007629000
117.303370787,0.007150882,0.007521678
119.325842697,0.006997930,0.007452022
121.348314607,0.007217491,0.007408013
123.370786517,0.007165450,0.007380939
125.393258427,0.006688393,0.007364718
127.415730337,0.006692570,0.007355253
129.438202247,0.006723388,0.007349872
131.460674157,0.006631239,0.007346891
133.483146067,0.006274721,0.007345283
135.505617978,0.006233226,0.007344436
137.528089888,0.006320534,0.007344003
139.550561798,0.006425746,0.007343786
141.573033708,0.006589054,0.007343680
143.595505618,0.006529887,0.007343630
145.617977528,0.006325501,0.007343607
147.640449438,0.006668230,0.007343597
149.662921348,0.006562796,0.007343592
151.685393258,0.006666962,0.007343590
153.707865169,0.006445378,0.007343589
155.730337079,0.006625263,0.007343589
157.752808989,0.006753829,0.007343589
159.775280899,0.006894462,0.007343589
161.797752809,0.006889699,0.007343589
163.820224719,0.006770791,0.007343589
165.842696629,0.006805241,0.007343589
167.865168539,0.006817264,0.007343589
169.887640449,0.007106707,0.007343589
171.910112360,0.006936269,0.007343589
173.932584270,0.007282419,0.007343589
175.955056180,0.007356765,0.007343589
177.977528090,0.007173637,0.007343589
180.000000000,0.007579522,0.007343589
