Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...chedpics/otherreplicates/25_rep3_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...chedpics/otherreplicates/25_rep3_4x_stitched_stack-MaxIP-fit
0.000000000,0.009738521,0.008877057
2.022471910,0.009430065,0.008877057
4.044943820,0.009225796,0.008877057
6.067415730,0.009116837,0.008877057
8.089887640,0.009281760,0.008877057
10.112359551,0.009090751,0.008877057
12.134831461,0.008931571,0.008877057
14.157303371,0.008930210,0.008877057
16.179775281,0.009080451,0.008877057
18.202247191,0.008855593,0.008877057
20.224719101,0.008871580,0.008877057
22.247191011,0.008898515,0.008877057
24.269662921,0.008687145,0.008877057
26.292134831,0.008680684,0.008877057
28.314606742,0.008661610,0.008877058
30.337078652,0.008477171,0.008877059
32.359550562,0.008463327,0.008877066
34.382022472,0.008457297,0.008877085
36.404494382,0.008810286,0.008877143
38.426966292,0.008786053,0.008877306
40.449438202,0.008872929,0.008877745
42.471910112,0.008708474,0.008878864
44.494382022,0.009177319,0.008881580
46.516853933,0.009106067,0.008887847
48.539325843,0.009218803,0.008901584
50.561797753,0.009520232,0.008930178
52.584269663,0.010082564,0.008986685
54.606741573,0.010198920,0.009092637
56.629213483,0.010776927,0.009281006
58.651685393,0.011270835,0.009598294
60.674157303,0.011681300,0.010104103
62.696629213,0.012321333,0.010866244
64.719101124,0.013577337,0.011949773
66.741573034,0.014489795,0.013399791
68.764044944,0.014791426,0.015220304
70.786516854,0.017368194,0.017354289
72.808988764,0.018604645,0.019672201
74.831460674,0.020176544,0.021975954
76.853932584,0.022195070,0.024022184
78.876404494,0.025314044,0.025562704
80.898876404,0.027119489,0.026393467
82.921348315,0.028048669,0.026398870
84.943820225,0.027204632,0.025578151
86.966292135,0.024452004,0.024045560
88.988764045,0.022794973,0.022004267
91.011235955,0.018872819,0.019702210
93.033707865,0.015681702,0.017383100
95.056179775,0.013899826,0.015245790
97.078651685,0.012639243,0.013420765
99.101123596,0.012071426,0.011965928
101.123595506,0.011218266,0.010877936
103.146067416,0.010840546,0.010112077
105.168539326,0.010212032,0.009603429
107.191011236,0.009895424,0.009284133
109.213483146,0.009859492,0.009094439
111.235955056,0.009530324,0.008987670
113.258426966,0.008710929,0.008930688
115.280898876,0.008505420,0.008901835
117.303370787,0.007960676,0.008887965
119.325842697,0.008063176,0.008881632
121.348314607,0.008137681,0.008878886
123.370786517,0.007806305,0.008877753
125.393258427,0.008012681,0.008877310
127.415730337,0.007927887,0.008877144
129.438202247,0.007493391,0.008877086
131.460674157,0.007301386,0.008877066
133.483146067,0.007524091,0.008877059
135.505617978,0.007714092,0.008877058
137.528089888,0.007660834,0.008877057
139.550561798,0.007782621,0.008877057
141.573033708,0.007934842,0.008877057
143.595505618,0.008080107,0.008877057
145.617977528,0.008142135,0.008877057
147.640449438,0.008310870,0.008877057
149.662921348,0.008292683,0.008877057
151.685393258,0.008402535,0.008877057
153.707865169,0.008617394,0.008877057
155.730337079,0.009007361,0.008877057
157.752808989,0.008787327,0.008877057
159.775280899,0.008977836,0.008877057
161.797752809,0.009153826,0.008877057
163.820224719,0.009597551,0.008877057
165.842696629,0.009380194,0.008877057
167.865168539,0.009365411,0.008877057
169.887640449,0.009378174,0.008877057
171.910112360,0.009385269,0.008877057
173.932584270,0.009470665,0.008877057
175.955056180,0.009567529,0.008877057
177.977528090,0.009539750,0.008877057
180.000000000,0.009738521,0.008877057
