Stamp_Parameters,rep,location,mean_angle,stdd,goodness_of_fit,percent_near90,Category
12.5,1,,83.43641319054225,10.92805430236208,0.9682303439113664,0.509200481,grooved
12.5,2,,72.19625942296972,16.36494212377588,0.9810735487582896,0.4578551759999999,grooved
12.5,3,,82.11930799089286,11.98823508955958,0.9636895659448768,0.49687696,grooved
25,1,,75.10034938675285,12.293838315179856,0.972520943934212,0.512779115,grooved
25,2,,76.58452646093802,13.91178116007126,0.9768713666389642,0.4938504529999999,grooved
25,3,,78.96461084169101,11.798803734706318,0.966752880989322,0.518775647,grooved
62.5,1,,67.20449883631264,18.83273709553231,0.9809586531704496,0.395070161,grooved
62.5,2,,71.7316504033944,17.414250004486853,0.9689075781698816,0.393800221,grooved
62.5,3,,87.05454967555893,27.245274666414065,0.9105914369337776,0.332252113,grooved
125,1,,74.40179937719981,12.91056110924464,0.9838583141443896,0.504467582,grooved
125,2,,77.66852920475485,14.22865891003725,0.9819441742518028,0.481455708,grooved
125,3,,78.28854676772288,12.965081138472662,0.984625291834974,0.518465625,grooved
flat,1,,60.55054504452954,23.06984274756985,0.9831325110965762,0.33953336,ungrooved
flat,2,,122.02117621905728,15.257444948959352,0.987180963849029,0.362444215,ungrooved
flat,3,,32.702175289706695,16.172627769588818,0.963938617913842,0.194827473,ungrooved
unstamped,1,,83.31740714273265,51.414604705536696,0.7747530154674106,0.302853688,ungrooved
unstamped,2,,53.62341839261311,21.47004947272583,0.9863496023727716,0.3134415869999999,ungrooved
unstamped,3,,95.62017968931957,19.546024581359998,0.9925033308400335,0.46578156600000004,ungrooved
