direction,value,Stamp_Parameters,rep
0.0,0.00947378,,1
0.0,0.00947378,12.5,1
0.0,0.00947378,12.5,1
0.0,0.00947378,12.5,1
0.0,0.00947378,12.5,1
0.0,0.00947378,12.5,1
0.0,0.00947378,12.5,1
0.0,0.00947378,12.5,1
0.0,0.00947378,12.5,1
2.02247191,0.009394066,12.5,1
2.02247191,0.009394066,12.5,1
2.02247191,0.009394066,12.5,1
2.02247191,0.009394066,12.5,1
2.02247191,0.009394066,12.5,1
2.02247191,0.009394066,12.5,1
2.02247191,0.009394066,12.5,1
2.02247191,0.009394066,12.5,1
4.04494382,0.009480678,12.5,1
4.04494382,0.009480678,12.5,1
4.04494382,0.009480678,12.5,1
4.04494382,0.009480678,12.5,1
4.04494382,0.009480678,12.5,1
4.04494382,0.009480678,12.5,1
4.04494382,0.009480678,12.5,1
4.04494382,0.009480678,12.5,1
6.06741573,0.009355639,12.5,1
6.06741573,0.009355639,12.5,1
6.06741573,0.009355639,12.5,1
6.06741573,0.009355639,12.5,1
6.06741573,0.009355639,12.5,1
6.06741573,0.009355639,12.5,1
6.06741573,0.009355639,12.5,1
6.06741573,0.009355639,12.5,1
8.08988764,0.0096901,12.5,1
8.08988764,0.0096901,12.5,1
8.08988764,0.0096901,12.5,1
8.08988764,0.0096901,12.5,1
8.08988764,0.0096901,12.5,1
8.08988764,0.0096901,12.5,1
8.08988764,0.0096901,12.5,1
8.08988764,0.0096901,12.5,1
8.08988764,0.0096901,12.5,1
10.112359551,0.009613993,12.5,1
10.112359551,0.009613993,12.5,1
10.112359551,0.009613993,12.5,1
10.112359551,0.009613993,12.5,1
10.112359551,0.009613993,12.5,1
10.112359551,0.009613993,12.5,1
10.112359551,0.009613993,12.5,1
10.112359551,0.009613993,12.5,1
10.112359551,0.009613993,12.5,1
12.134831461,0.009572899,12.5,1
12.134831461,0.009572899,12.5,1
12.134831461,0.009572899,12.5,1
12.134831461,0.009572899,12.5,1
12.134831461,0.009572899,12.5,1
12.134831461,0.009572899,12.5,1
12.134831461,0.009572899,12.5,1
12.134831461,0.009572899,12.5,1
12.134831461,0.009572899,12.5,1
14.157303371,0.009516889,12.5,1
14.157303371,0.009516889,12.5,1
14.157303371,0.009516889,12.5,1
14.157303371,0.009516889,12.5,1
14.157303371,0.009516889,12.5,1
14.157303371,0.009516889,12.5,1
14.157303371,0.009516889,12.5,1
14.157303371,0.009516889,12.5,1
14.157303371,0.009516889,12.5,1
16.179775281,0.009582633,12.5,1
16.179775281,0.009582633,12.5,1
16.179775281,0.009582633,12.5,1
16.179775281,0.009582633,12.5,1
16.179775281,0.009582633,12.5,1
16.179775281,0.009582633,12.5,1
16.179775281,0.009582633,12.5,1
16.179775281,0.009582633,12.5,1
16.179775281,0.009582633,12.5,1
18.202247191,0.009558891,12.5,1
18.202247191,0.009558891,12.5,1
18.202247191,0.009558891,12.5,1
18.202247191,0.009558891,12.5,1
18.202247191,0.009558891,12.5,1
18.202247191,0.009558891,12.5,1
18.202247191,0.009558891,12.5,1
18.202247191,0.009558891,12.5,1
18.202247191,0.009558891,12.5,1
20.224719101,0.009383885,12.5,1
20.224719101,0.009383885,12.5,1
20.224719101,0.009383885,12.5,1
20.224719101,0.009383885,12.5,1
20.224719101,0.009383885,12.5,1
20.224719101,0.009383885,12.5,1
20.224719101,0.009383885,12.5,1
20.224719101,0.009383885,12.5,1
22.247191011,0.009475181,12.5,1
22.247191011,0.009475181,12.5,1
22.247191011,0.009475181,12.5,1
22.247191011,0.009475181,12.5,1
22.247191011,0.009475181,12.5,1
22.247191011,0.009475181,12.5,1
22.247191011,0.009475181,12.5,1
22.247191011,0.009475181,12.5,1
24.269662921,0.009880566,12.5,1
24.269662921,0.009880566,12.5,1
24.269662921,0.009880566,12.5,1
24.269662921,0.009880566,12.5,1
24.269662921,0.009880566,12.5,1
