Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/unstamped_rep24x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...edpics/otherreplicates/unstamped_rep24x_fullWellFiltered-fit
0.000000000,0.007014102,0.006558104
2.022471910,0.005576546,0.006558104
4.044943820,0.006089363,0.006558104
6.067415730,0.005940958,0.006558104
8.089887640,0.005912896,0.006558104
10.112359551,0.005841661,0.006558104
12.134831461,0.005821586,0.006558104
14.157303371,0.005746961,0.006558104
16.179775281,0.005707677,0.006558104
18.202247191,0.005821586,0.006558104
20.224719101,0.005965099,0.006558104
22.247191011,0.005709641,0.006558104
24.269662921,0.005933042,0.006558104
26.292134831,0.006085692,0.006558104
28.314606742,0.005878789,0.006558104
30.337078652,0.006028305,0.006558105
32.359550562,0.006144646,0.006558105
34.382022472,0.005975445,0.006558106
36.404494382,0.006253876,0.006558107
38.426966292,0.006117371,0.006558111
40.449438202,0.006082548,0.006558118
42.471910112,0.005891533,0.006558131
44.494382022,0.006598961,0.006558158
46.516853933,0.005938338,0.006558208
48.539325843,0.006222292,0.006558303
50.561797753,0.006382489,0.006558478
52.584269663,0.006372674,0.006558793
54.606741573,0.006476242,0.006559353
56.629213483,0.006760758,0.006560328
58.651685393,0.006663042,0.006561995
60.674157303,0.006500890,0.006564792
62.696629213,0.007070286,0.006569401
64.719101124,0.007074929,0.006576854
66.741573034,0.006921834,0.006588681
68.764044944,0.006615450,0.006607099
70.786516854,0.007213846,0.006635244
72.808988764,0.007560799,0.006677442
74.831460674,0.007720371,0.006739509
76.853932584,0.007163964,0.006829052
78.876404494,0.007425903,0.006955747
80.898876404,0.008096329,0.007131518
82.921348315,0.008620203,0.007370584
84.943820225,0.008908558,0.007689270
86.966292135,0.008865663,0.008105525
88.988764045,0.009509072,0.008638087
91.011235955,0.009852538,0.009305239
93.033707865,0.010710885,0.010123182
95.056179775,0.011492382,0.011104079
97.078651685,0.012013671,0.012253894
99.101123596,0.013578940,0.013570233
101.123595506,0.015584673,0.015040424
103.146067416,0.016468145,0.016640143
105.168539326,0.017867307,0.018332835
107.191011236,0.018766090,0.020070195
109.213483146,0.019651530,0.021793826
111.235955056,0.022481086,0.023438104
113.258426966,0.025040781,0.024934094
115.280898876,0.025626446,0.026214233
117.303370787,0.027752235,0.027217335
119.325842697,0.028224483,0.027893427
121.348314607,0.029227333,0.028207871
123.370786517,0.030822397,0.028144301
125.393258427,0.028531996,0.027706040
127.415730337,0.027992249,0.026915806
129.438202247,0.026693197,0.025813765
131.460674157,0.023396279,0.024454148
133.483146067,0.021146159,0.022900832
135.505617978,0.020224932,0.021222393
137.528089888,0.017892667,0.019487147
139.550561798,0.016333392,0.017758688
141.573033708,0.015485471,0.016092296
143.595505618,0.014441726,0.014532467
145.617977528,0.013360176,0.013111661
147.640449438,0.012764929,0.011850192
149.662921348,0.012043423,0.010757105
151.685393258,0.010327000,0.009831765
153.707865169,0.009422192,0.009065890
155.730337079,0.008885904,0.008445731
157.752808989,0.008951185,0.007954185
159.775280899,0.008327933,0.007572656
161.797752809,0.008461300,0.007282551
163.820224719,0.007744224,0.007066390
165.842696629,0.007686018,0.006908516
167.865168539,0.007280378,0.006795470
169.887640449,0.007096740,0.006716093
171.910112360,0.006867017,0.006661429
173.932584270,0.006532263,0.006624501
175.955056180,0.006114998,0.006600028
177.977528090,0.005599010,0.006584115
180.000000000,0.007014102,0.006573960
