Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...cs/otherreplicates/unstamped_rep3_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...cs/otherreplicates/unstamped_rep3_4x_stitched_stack-MaxIP-fit
0.000000000,0.013027979,0.010380506
2.022471910,0.012551845,0.010964700
4.044943820,0.013215567,0.011645501
6.067415730,0.013722234,0.012422223
8.089887640,0.013923841,0.013288999
10.112359551,0.014562414,0.014234046
12.134831461,0.014847012,0.015239282
14.157303371,0.015222876,0.016280410
16.179775281,0.015823491,0.017327545
18.202247191,0.016315051,0.018346402
20.224719101,0.017262963,0.019300016
22.247191011,0.018638492,0.020150891
24.269662921,0.020453175,0.020863405
26.292134831,0.021336844,0.021406271
28.314606742,0.022879954,0.021754806
30.337078652,0.024240462,0.021892797
32.359550562,0.023951068,0.021813747
34.382022472,0.023507414,0.021521382
36.404494382,0.021698192,0.021029364
38.426966292,0.019419188,0.020360227
40.449438202,0.018756448,0.019543671
42.471910112,0.017911631,0.018614376
44.494382022,0.016927109,0.017609574
46.516853933,0.015355665,0.016566600
48.539325843,0.014763652,0.015520660
50.561797753,0.014630386,0.014502982
52.584269663,0.013835265,0.013539470
54.606741573,0.013101756,0.012649930
56.629213483,0.011869754,0.011847843
58.651685393,0.011017593,0.011140628
60.674157303,0.010417180,0.010530294
62.696629213,0.010088038,0.010014357
64.719101124,0.009709158,0.009586886
66.741573034,0.009680307,0.009239576
68.764044944,0.008924126,0.008962750
70.786516854,0.008827131,0.008746213
72.808988764,0.008269265,0.008579940
74.831460674,0.008814670,0.008454572
76.853932584,0.008100058,0.008361735
78.876404494,0.007690386,0.008294202
80.898876404,0.007783168,0.008245936
82.921348315,0.007514974,0.008212041
84.943820225,0.006996735,0.008188647
86.966292135,0.007299481,0.008172777
88.988764045,0.007206959,0.008162195
91.011235955,0.007159276,0.008155258
93.033707865,0.006944637,0.008150788
95.056179775,0.007010069,0.008147955
97.078651685,0.006805599,0.008146190
99.101123596,0.006525110,0.008145108
101.123595506,0.006610773,0.008144457
103.146067416,0.006721696,0.008144071
105.168539326,0.006613258,0.008143846
107.191011236,0.006247686,0.008143717
109.213483146,0.006326872,0.008143644
111.235955056,0.006382314,0.008143604
113.258426966,0.006374704,0.008143582
115.280898876,0.006292140,0.008143570
117.303370787,0.006592593,0.008143564
119.325842697,0.006481298,0.008143560
121.348314607,0.006405804,0.008143559
123.370786517,0.006514391,0.008143558
125.393258427,0.006608602,0.008143557
127.415730337,0.006794545,0.008143557
129.438202247,0.006814279,0.008143557
131.460674157,0.006911989,0.008143557
133.483146067,0.007134111,0.008143557
135.505617978,0.007206304,0.008143557
137.528089888,0.007469461,0.008143557
139.550561798,0.007722823,0.008143557
141.573033708,0.007793343,0.008143557
143.595505618,0.007830557,0.008143557
145.617977528,0.008040657,0.008143557
147.640449438,0.008394555,0.008143557
149.662921348,0.008397890,0.008143557
151.685393258,0.008668257,0.008143557
153.707865169,0.008986231,0.008143557
155.730337079,0.009383917,0.008143557
157.752808989,0.009760549,0.008143557
159.775280899,0.009976461,0.008143557
161.797752809,0.010128305,0.008143557
163.820224719,0.010421900,0.008143557
165.842696629,0.010375293,0.008143557
167.865168539,0.011132880,0.008143557
169.887640449,0.010774346,0.008143557
171.910112360,0.010943609,0.008143557
173.932584270,0.011523876,0.008143557
175.955056180,0.011503365,0.008143557
177.977528090,0.012174743,0.008143557
180.000000000,0.013027979,0.008143557
