Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...dpics/otherreplicates/12pt5_rep2_4x_stitched_stack-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...dpics/otherreplicates/12pt5_rep2_4x_stitched_stack-MaxIP-fit
0.000000000,0.010106701,0.008816356
2.022471910,0.009651087,0.008816356
4.044943820,0.009771393,0.008816357
6.067415730,0.009887806,0.008816358
8.089887640,0.009717801,0.008816362
10.112359551,0.009702443,0.008816371
12.134831461,0.009584079,0.008816393
14.157303371,0.009384250,0.008816446
16.179775281,0.009454390,0.008816567
18.202247191,0.009498296,0.008816838
20.224719101,0.009782360,0.008817421
22.247191011,0.009603249,0.008818637
24.269662921,0.009533214,0.008821088
26.292134831,0.009476103,0.008825868
28.314606742,0.009662012,0.008834880
30.337078652,0.009613952,0.008851303
32.359550562,0.009667647,0.008880228
34.382022472,0.009521173,0.008929450
36.404494382,0.010042000,0.009010356
38.426966292,0.009965864,0.009138753
40.449438202,0.010246967,0.009335406
42.471910112,0.010378188,0.009625929
44.494382022,0.011136426,0.010039650
46.516853933,0.011390846,0.010607103
48.539325843,0.012139879,0.011355959
50.561797753,0.013075184,0.012305555
52.584269663,0.013903993,0.013460591
54.606741573,0.014684982,0.014805035
56.629213483,0.016153957,0.016297641
58.651685393,0.017105924,0.017870550
60.674157303,0.018141616,0.019432133
62.696629213,0.020665956,0.020874547
64.719101124,0.021678737,0.022085439
66.741573034,0.022575559,0.022962173
68.764044944,0.023792021,0.023426132
70.786516854,0.023180041,0.023434340
72.808988764,0.023662464,0.022986027
74.831460674,0.023066299,0.022122753
76.853932584,0.021956194,0.020922046
78.876404494,0.019736747,0.019485928
80.898876404,0.017798513,0.017926660
82.921348315,0.015547618,0.016352464
84.943820225,0.014638192,0.014855700
86.966292135,0.013093355,0.013505146
88.988764045,0.011967105,0.012342988
91.011235955,0.010821106,0.011386089
93.033707865,0.010682300,0.010630385
95.056179775,0.010035236,0.010056947
97.078651685,0.009079210,0.009638299
99.101123596,0.008854798,0.009343930
101.123595506,0.008753428,0.009144416
103.146067416,0.008320737,0.009013985
105.168539326,0.008282536,0.008931695
107.191011236,0.008132177,0.008881569
109.213483146,0.008050496,0.008852077
111.235955056,0.007791899,0.008835311
113.258426966,0.007542324,0.008826101
115.280898876,0.007324474,0.008821209
117.303370787,0.007700343,0.008818698
119.325842697,0.007453233,0.008817451
121.348314607,0.007356112,0.008816852
123.370786517,0.007370008,0.008816574
125.393258427,0.007342459,0.008816449
127.415730337,0.007310825,0.008816394
129.438202247,0.007345912,0.008816371
131.460674157,0.007362070,0.008816362
133.483146067,0.007414881,0.008816358
135.505617978,0.007540734,0.008816357
137.528089888,0.007584258,0.008816356
139.550561798,0.007763383,0.008816356
141.573033708,0.007767663,0.008816356
143.595505618,0.007831485,0.008816356
145.617977528,0.008142496,0.008816356
147.640449438,0.008299286,0.008816356
149.662921348,0.008352592,0.008816356
151.685393258,0.008340175,0.008816356
153.707865169,0.008681329,0.008816356
155.730337079,0.008959196,0.008816356
157.752808989,0.009103476,0.008816356
159.775280899,0.009145329,0.008816356
161.797752809,0.009214608,0.008816356
163.820224719,0.009431545,0.008816356
165.842696629,0.009634772,0.008816356
167.865168539,0.009655741,0.008816356
169.887640449,0.009754044,0.008816356
171.910112360,0.009865788,0.008816356
173.932584270,0.009771093,0.008816356
175.955056180,0.009779293,0.008816356
177.977528090,0.009605871,0.008816356
180.000000000,0.010106701,0.008816356
