Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...stitchedpics/otherreplicates/25_rep34x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...stitchedpics/otherreplicates/25_rep34x_fullWellFiltered-fit
0.000000000,0.017839445,0.009416619
2.022471910,0.000467549,0.009416619
4.044943820,0.004469045,0.009416619
6.067415730,0.004682986,0.009416619
8.089887640,0.002194818,0.009416619
10.112359551,0.001555205,0.009416619
12.134831461,0.003045922,0.009416619
14.157303371,0.002248397,0.009416619
16.179775281,0.001231663,0.009416619
18.202247191,0.009030286,0.009416619
20.224719101,0.002749754,0.009416619
22.247191011,0.000733588,0.009416619
24.269662921,0.009437397,0.009416619
26.292134831,0.002453314,0.009416619
28.314606742,0.005038672,0.009416619
30.337078652,0.003123854,0.009416619
32.359550562,0.002113554,0.009416619
34.382022472,0.009386399,0.009416619
36.404494382,0.000558824,0.009416619
38.426966292,0.013847877,0.009416619
40.449438202,0.000688166,0.009416619
42.471910112,0.000690801,0.009416619
44.494382022,0.041088233,0.009416619
46.516853933,0.000025849,0.009416619
48.539325843,0.012854649,0.009416619
50.561797753,0.017972799,0.009416619
52.584269663,0.015273012,0.009416619
54.606741573,0.022167808,0.009416619
56.629213483,0.004355987,0.009416619
58.651685393,0.010988809,0.009416619
60.674157303,0.018351424,0.009416619
62.696629213,0.052017868,0.009416619
64.719101124,0.001083623,0.009416619
66.741573034,0.015087749,0.009416619
68.764044944,0.083159157,0.009416619
70.786516854,0.000433992,0.009416619
72.808988764,0.001412656,0.009416619
74.831460674,0.038123946,0.009416619
76.853932584,0.028080379,0.009416619
78.876404494,0.008130902,0.009416619
80.898876404,0.007974240,0.009416619
82.921348315,0.090176422,0.009416619
84.943820225,0.000450825,0.009416619
86.966292135,0.000168007,0.009416619
88.988764045,0.161920935,0.161920935
91.011235955,0.000113422,0.009416619
93.033707865,0.000562044,0.009416619
95.056179775,0.040987588,0.009416619
97.078651685,0.009316099,0.009416619
99.101123596,0.004623302,0.009416619
101.123595506,0.011603852,0.009416619
103.146067416,0.021202774,0.009416619
105.168539326,0.000978017,0.009416619
107.191011236,0.000232698,0.009416619
109.213483146,0.031649013,0.009416619
111.235955056,0.005017744,0.009416619
113.258426966,0.000792336,0.009416619
115.280898876,0.019752908,0.009416619
117.303370787,0.009899321,0.009416619
119.325842697,0.003931848,0.009416619
121.348314607,0.001708430,0.009416619
123.370786517,0.007543173,0.009416619
125.393258427,0.006046021,0.009416619
127.415730337,0.008819133,0.009416619
129.438202247,0.004884962,0.009416619
131.460674157,0.000034806,0.009416619
133.483146067,0.020360481,0.009416619
135.505617978,0.000336627,0.009416619
137.528089888,0.000353271,0.009416619
139.550561798,0.009169344,0.009416619
141.573033708,0.000375634,0.009416619
143.595505618,0.006353610,0.009416619
145.617977528,0.001312325,0.009416619
147.640449438,0.001901125,0.009416619
149.662921348,0.004118458,0.009416619
151.685393258,0.001616206,0.009416619
153.707865169,0.007583539,0.009416619
155.730337079,0.000606567,0.009416619
157.752808989,0.002106216,0.009416619
159.775280899,0.007834693,0.009416619
161.797752809,0.000884802,0.009416619
163.820224719,0.002101248,0.009416619
165.842696629,0.002659985,0.009416619
167.865168539,0.001379631,0.009416619
169.887640449,0.001907949,0.009416619
171.910112360,0.004064948,0.009416619
173.932584270,0.003859860,0.009416619
175.955056180,0.000478265,0.009416619
177.977528090,0.000048938,0.009416619
180.000000000,0.000000000,0.009416619
