Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...itchedpics/otherreplicates/62pt5_rep34x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...itchedpics/otherreplicates/62pt5_rep34x_fullWellFiltered-fit
0.000000000,0.032104467,0.009958834
2.022471910,0.000472453,0.009958834
4.044943820,0.006975992,0.009958834
6.067415730,0.007617916,0.009958834
8.089887640,0.002813868,0.009958834
10.112359551,0.002268074,0.009958834
12.134831461,0.004721881,0.009958834
14.157303371,0.003989517,0.009958834
16.179775281,0.001153535,0.009958834
18.202247191,0.013941870,0.009958834
20.224719101,0.004063740,0.009958834
22.247191011,0.000737644,0.009958834
24.269662921,0.012550387,0.009958834
26.292134831,0.003816552,0.009958834
28.314606742,0.006042762,0.009958834
30.337078652,0.004878353,0.009958834
32.359550562,0.002254733,0.009958834
34.382022472,0.012260959,0.009958834
36.404494382,0.000499055,0.009958834
38.426966292,0.017467525,0.009958834
40.449438202,0.000462878,0.009958834
42.471910112,0.000444633,0.009958834
44.494382022,0.044440597,0.009958834
46.516853933,0.000034598,0.009958834
48.539325843,0.011030980,0.009958834
50.561797753,0.016384179,0.009958834
52.584269663,0.013171632,0.009958834
54.606741573,0.014653621,0.009958834
56.629213483,0.003921856,0.009958834
58.651685393,0.010183308,0.009958834
60.674157303,0.011909395,0.009958834
62.696629213,0.039146756,0.009958834
64.719101124,0.000949260,0.009958834
66.741573034,0.010606926,0.009958834
68.764044944,0.049601224,0.009958834
70.786516854,0.000439979,0.009958834
72.808988764,0.001350628,0.009958834
74.831460674,0.022729017,0.009958834
76.853932584,0.018296080,0.009958834
78.876404494,0.005273713,0.009958834
80.898876404,0.005556010,0.009958834
82.921348315,0.051935843,0.009958834
84.943820225,0.000427878,0.009958834
86.966292135,0.000134814,0.009958834
88.988764045,0.113663813,0.113663813
91.011235955,0.000132495,0.009958834
93.033707865,0.000465358,0.009958834
95.056179775,0.044009639,0.009958834
97.078651685,0.005779344,0.009958834
99.101123596,0.004707233,0.009958834
101.123595506,0.014441716,0.009958834
103.146067416,0.019467775,0.009958834
105.168539326,0.001302636,0.009958834
107.191011236,0.000392754,0.009958834
109.213483146,0.039768804,0.009958834
111.235955056,0.007842718,0.009958834
113.258426966,0.000902910,0.009958834
115.280898876,0.030930992,0.009958834
117.303370787,0.010410880,0.009958834
119.325842697,0.008259119,0.009958834
121.348314607,0.003411052,0.009958834
123.370786517,0.011382412,0.009958834
125.393258427,0.011485354,0.009958834
127.415730337,0.014963624,0.009958834
129.438202247,0.009389101,0.009958834
131.460674157,0.000022415,0.009958834
133.483146067,0.045042230,0.009958834
135.505617978,0.000376711,0.009958834
137.528089888,0.000395154,0.009958834
139.550561798,0.019840345,0.009958834
141.573033708,0.000501804,0.009958834
143.595505618,0.014562042,0.009958834
145.617977528,0.002256315,0.009958834
147.640449438,0.006147084,0.009958834
149.662921348,0.006798316,0.009958834
151.685393258,0.004823892,0.009958834
153.707865169,0.015050028,0.009958834
155.730337079,0.000729299,0.009958834
157.752808989,0.005132191,0.009958834
159.775280899,0.016557760,0.009958834
161.797752809,0.001255672,0.009958834
163.820224719,0.004767439,0.009958834
165.842696629,0.005887044,0.009958834
167.865168539,0.002543253,0.009958834
169.887640449,0.003070771,0.009958834
171.910112360,0.008742498,0.009958834
173.932584270,0.008121629,0.009958834
175.955056180,0.000503286,0.009958834
177.977528090,0.000046004,0.009958834
180.000000000,0.000000000,0.009958834
