Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...titchedpics/otherreplicates/flat_rep14x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...titchedpics/otherreplicates/flat_rep14x_fullWellFiltered-fit
0.000000000,0.044301220,0.010449974
2.022471910,0.000643220,0.010449974
4.044943820,0.010725152,0.010449974
6.067415730,0.011670372,0.010449974
8.089887640,0.003489500,0.010449974
10.112359551,0.003289125,0.010449974
12.134831461,0.008141373,0.010449974
14.157303371,0.007417299,0.010449974
16.179775281,0.001265617,0.010449974
18.202247191,0.023243655,0.010449974
20.224719101,0.008223927,0.010449974
22.247191011,0.000743635,0.010449974
24.269662921,0.019971333,0.010449974
26.292134831,0.008709781,0.010449974
28.314606742,0.007732813,0.010449974
30.337078652,0.011320442,0.010449974
32.359550562,0.002581453,0.010449974
34.382022472,0.021200852,0.010449974
36.404494382,0.000492828,0.010449974
38.426966292,0.026035170,0.010449974
40.449438202,0.000313748,0.010449974
42.471910112,0.000305107,0.010449974
44.494382022,0.062576730,0.010449974
46.516853933,0.000058897,0.010449974
48.539325843,0.011038262,0.010449974
50.561797753,0.016609534,0.010449974
52.584269663,0.013164533,0.010449974
54.606741573,0.010177495,0.010449974
56.629213483,0.003837328,0.010449974
58.651685393,0.010755390,0.010449974
60.674157303,0.007953791,0.010449974
62.696629213,0.030436910,0.010449974
64.719101124,0.000942105,0.010449974
66.741573034,0.007159501,0.010449974
68.764044944,0.027981967,0.010449974
70.786516854,0.000428929,0.010449974
72.808988764,0.001268762,0.010449974
74.831460674,0.011721487,0.010449974
76.853932584,0.010659522,0.010449974
78.876404494,0.003352148,0.010449974
80.898876404,0.003008104,0.010449974
82.921348315,0.027485629,0.010449974
84.943820225,0.000550756,0.010449974
86.966292135,0.000168962,0.010449974
88.988764045,0.069952271,0.069952271
91.011235955,0.000190805,0.010449974
93.033707865,0.000522923,0.010449974
95.056179775,0.036910203,0.010449974
97.078651685,0.002902295,0.010449974
99.101123596,0.003954747,0.010449974
101.123595506,0.016375092,0.010449974
103.146067416,0.016734932,0.010449974
105.168539326,0.001177672,0.010449974
107.191011236,0.000397223,0.010449974
109.213483146,0.041438287,0.010449974
111.235955056,0.012467789,0.010449974
113.258426966,0.000952021,0.010449974
115.280898876,0.043505476,0.010449974
117.303370787,0.009213428,0.010449974
119.325842697,0.013656487,0.010449974
121.348314607,0.004799918,0.010449974
123.370786517,0.015096304,0.010449974
125.393258427,0.015240545,0.010449974
127.415730337,0.017266738,0.010449974
129.438202247,0.012181269,0.010449974
131.460674157,0.000042552,0.010449974
133.483146067,0.051974643,0.010449974
135.505617978,0.000330883,0.010449974
137.528089888,0.000356816,0.010449974
139.550561798,0.019289772,0.010449974
141.573033708,0.000467813,0.010449974
143.595505618,0.014172619,0.010449974
145.617977528,0.002278039,0.010449974
147.640449438,0.006157283,0.010449974
149.662921348,0.006669523,0.010449974
151.685393258,0.004913121,0.010449974
153.707865169,0.014617980,0.010449974
155.730337079,0.000717151,0.010449974
157.752808989,0.005149595,0.010449974
159.775280899,0.017601341,0.010449974
161.797752809,0.001080358,0.010449974
163.820224719,0.005340777,0.010449974
165.842696629,0.005852411,0.010449974
167.865168539,0.002747799,0.010449974
169.887640449,0.003103053,0.010449974
171.910112360,0.009590551,0.010449974
173.932584270,0.008744114,0.010449974
175.955056180,0.000636637,0.010449974
177.977528090,0.000074380,0.010449974
180.000000000,0.000000000,0.010449974
