Direction (°),frame_0210,frame_0210-fit
0.000000000,0.010850760,0.005707265
2.022471910,0.010083808,0.005707265
4.044943820,0.009973539,0.005707265
6.067415730,0.009807311,0.005707265
8.089887640,0.008714963,0.005707265
10.112359551,0.008761592,0.005707265
12.134831461,0.008429074,0.005707265
14.157303371,0.007083545,0.005707265
16.179775281,0.006311699,0.005707265
18.202247191,0.006225163,0.005707265
20.224719101,0.006413579,0.005707265
22.247191011,0.006237740,0.005707265
24.269662921,0.005831977,0.005707265
26.292134831,0.005169724,0.005707265
28.314606742,0.005157330,0.005707265
30.337078652,0.005177870,0.005707265
32.359550562,0.004773816,0.005707265
34.382022472,0.004801471,0.005707265
36.404494382,0.004775440,0.005707265
38.426966292,0.004878810,0.005707265
40.449438202,0.004770611,0.005707266
42.471910112,0.004941302,0.005707266
44.494382022,0.004999923,0.005707267
46.516853933,0.005230233,0.005707277
48.539325843,0.005379473,0.005707326
50.561797753,0.005675811,0.005707559
52.584269663,0.006296319,0.005708554
54.606741573,0.006641590,0.005712413
56.629213483,0.006720563,0.005725958
58.651685393,0.007206608,0.005768963
60.674157303,0.008662830,0.005892352
62.696629213,0.009664466,0.006211933
64.719101124,0.010860339,0.006957968
66.741573034,0.012494560,0.008524499
68.764044944,0.014793937,0.011475081
70.786516854,0.017419214,0.016440229
72.808988764,0.022394542,0.023860235
74.831460674,0.035260354,0.033613127
76.853932584,0.045066540,0.044698137
78.876404494,0.051872881,0.055223795
80.898876404,0.061217338,0.062862657
82.921348315,0.062258077,0.065670349
84.943820225,0.069007049,0.062885463
86.966292135,0.059980314,0.055263319
88.988764045,0.042787897,0.044744829
91.011235955,0.030440295,0.033657693
93.033707865,0.022824433,0.023896480
95.056179775,0.016026521,0.016465951
97.078651685,0.010429587,0.011491211
99.101123596,0.007279467,0.008533505
101.123595506,0.007044054,0.006962467
103.146067416,0.005413775,0.006213950
105.168539326,0.004340467,0.005893166
107.191011236,0.003724734,0.005769259
109.213483146,0.003477213,0.005726056
111.235955056,0.003431029,0.005712442
113.258426966,0.003154819,0.005708562
115.280898876,0.002653116,0.005707560
117.303370787,0.002675815,0.005707326
119.325842697,0.002621444,0.005707277
121.348314607,0.002876651,0.005707267
123.370786517,0.002632579,0.005707266
125.393258427,0.002780933,0.005707266
127.415730337,0.002955394,0.005707265
129.438202247,0.002835690,0.005707265
131.460674157,0.003036563,0.005707265
133.483146067,0.003005032,0.005707265
135.505617978,0.003246055,0.005707265
137.528089888,0.003163325,0.005707265
139.550561798,0.003405485,0.005707265
141.573033708,0.003707237,0.005707265
143.595505618,0.003821042,0.005707265
145.617977528,0.003675910,0.005707265
147.640449438,0.003927804,0.005707265
149.662921348,0.004109869,0.005707265
151.685393258,0.004256915,0.005707265
153.707865169,0.004524239,0.005707265
155.730337079,0.004624505,0.005707265
157.752808989,0.004953262,0.005707265
159.775280899,0.005368089,0.005707265
161.797752809,0.005777969,0.005707265
163.820224719,0.006437411,0.005707265
165.842696629,0.006615773,0.005707265
167.865168539,0.007434179,0.005707265
169.887640449,0.007483673,0.005707265
171.910112360,0.007412668,0.005707265
173.932584270,0.008400110,0.005707265
175.955056180,0.009883348,0.005707265
177.977528090,0.010198780,0.005707265
180.000000000,0.010850760,0.005707265
