Direction (°),frame_0210,frame_0210-fit
0.000000000,0.005327815,0.003852510
2.022471910,0.003912141,0.003856410
4.044943820,0.003963224,0.003862225
6.067415730,0.003934129,0.003870791
8.089887640,0.003967059,0.003883250
10.112359551,0.004195226,0.003901150
12.134831461,0.004508357,0.003926544
14.157303371,0.004067495,0.003962120
16.179775281,0.004273631,0.004011334
18.202247191,0.004415215,0.004078550
20.224719101,0.004438396,0.004169188
22.247191011,0.004692152,0.004289841
24.269662921,0.004897346,0.004448377
26.292134831,0.005087561,0.004653982
28.314606742,0.005365834,0.004917131
30.337078652,0.005270341,0.005249463
32.359550562,0.005525418,0.005663543
34.382022472,0.005638680,0.006172475
36.404494382,0.006328564,0.006789375
38.426966292,0.006455027,0.007526686
40.449438202,0.006725201,0.008395352
42.471910112,0.007222722,0.009403883
44.494382022,0.008173323,0.010557336
46.516853933,0.009208947,0.011856306
48.539325843,0.011350760,0.013295965
50.561797753,0.013060225,0.014865264
52.584269663,0.014597371,0.016546376
54.606741573,0.020069313,0.018314461
56.629213483,0.026562842,0.020137837
58.651685393,0.025124684,0.021978589
60.674157303,0.023428256,0.023793649
62.696629213,0.025520014,0.025536313
64.719101124,0.027998371,0.027158141
66.741573034,0.031296862,0.028611141
68.764044944,0.030842087,0.029850097
70.786516854,0.031268087,0.030834893
72.808988764,0.032661274,0.031532670
74.831460674,0.033919132,0.031919642
76.853932584,0.028825011,0.031982440
78.876404494,0.026800423,0.031718885
80.898876404,0.027136712,0.031138106
82.921348315,0.026475724,0.030260023
84.943820225,0.026414290,0.029114205
86.966292135,0.028490209,0.027738223
88.988764045,0.027373115,0.026175605
91.011235955,0.027814461,0.024473557
93.033707865,0.026712964,0.022680615
95.056179775,0.024228687,0.020844394
97.078651685,0.019824545,0.019009557
99.101123596,0.017799177,0.017216150
101.123595506,0.015899463,0.015498345
103.146067416,0.013694249,0.013883650
105.168539326,0.011357231,0.012392577
107.191011236,0.010313337,0.011038725
109.213483146,0.008167983,0.009829226
111.235955056,0.007931817,0.008765461
113.258426966,0.007230944,0.007843964
115.280898876,0.006918378,0.007057430
117.303370787,0.006293642,0.006395733
119.325842697,0.005882052,0.005846901
121.348314607,0.005254466,0.005397987
123.370786517,0.004883743,0.005035810
125.393258427,0.004398537,0.004747546
127.415730337,0.004581066,0.004521166
129.438202247,0.004168271,0.004345725
131.460674157,0.004250400,0.004211537
133.483146067,0.004077556,0.004110229
135.505617978,0.003833491,0.004034728
137.528089888,0.003934024,0.003979176
139.550561798,0.003955285,0.003938822
141.573033708,0.003773110,0.003909877
143.595505618,0.003888306,0.003889376
145.617977528,0.003796129,0.003875037
147.640449438,0.003948880,0.003865132
149.662921348,0.003786902,0.003858375
151.685393258,0.003726850,0.003853823
153.707865169,0.004011066,0.003850793
155.730337079,0.004402143,0.003848802
157.752808989,0.004847237,0.003847509
159.775280899,0.004068029,0.003846679
161.797752809,0.003763494,0.003846154
163.820224719,0.003700603,0.003845825
165.842696629,0.003613941,0.003845622
167.865168539,0.004422425,0.003845498
169.887640449,0.004012610,0.003845423
171.910112360,0.003669821,0.003845378
173.932584270,0.003842031,0.003845352
175.955056180,0.003764845,0.003845336
177.977528090,0.003419432,0.003845327
180.000000000,0.005327815,0.003845322
