Direction (°),frame_0210,frame_0210-fit
0.000000000,0.004632786,0.005093127
2.022471910,0.003869632,0.005093127
4.044943820,0.003889204,0.005093127
6.067415730,0.003847377,0.005093127
8.089887640,0.003923112,0.005093127
10.112359551,0.003624372,0.005093127
12.134831461,0.003744468,0.005093127
14.157303371,0.003661675,0.005093127
16.179775281,0.003857783,0.005093127
18.202247191,0.003517143,0.005093127
20.224719101,0.003556919,0.005093127
22.247191011,0.003723544,0.005093127
24.269662921,0.003901664,0.005093127
26.292134831,0.003760020,0.005093127
28.314606742,0.003633581,0.005093127
30.337078652,0.003816074,0.005093127
32.359550562,0.003832527,0.005093127
34.382022472,0.004075176,0.005093127
36.404494382,0.003938528,0.005093127
38.426966292,0.004204081,0.005093127
40.449438202,0.004223199,0.005093127
42.471910112,0.004057104,0.005093127
44.494382022,0.004479307,0.005093127
46.516853933,0.004381663,0.005093127
48.539325843,0.004239705,0.005093127
50.561797753,0.004322923,0.005093127
52.584269663,0.004268237,0.005093128
54.606741573,0.004652896,0.005093132
56.629213483,0.004677379,0.005093146
58.651685393,0.004849001,0.005093201
60.674157303,0.005248311,0.005093402
62.696629213,0.005073367,0.005094078
64.719101124,0.005419496,0.005096209
66.741573034,0.005717679,0.005102474
68.764044944,0.006171186,0.005119648
70.786516854,0.006966277,0.005163531
72.808988764,0.007488908,0.005267980
74.831460674,0.008085513,0.005499400
76.853932584,0.008731525,0.005976273
78.876404494,0.010199733,0.006889175
80.898876404,0.011800331,0.008510349
82.921348315,0.014241151,0.011175860
84.943820225,0.017027528,0.015222779
86.966292135,0.020650782,0.020875071
88.988764045,0.025966482,0.028096773
91.011235955,0.034033122,0.036462300
93.033707865,0.039524504,0.045113365
95.056179775,0.053017431,0.052859961
97.078651685,0.062573222,0.058431954
99.101123596,0.065507643,0.060815636
101.123595506,0.060402526,0.059554436
103.146067416,0.052943552,0.054891561
105.168539326,0.046718836,0.047693510
107.191011236,0.036968436,0.039187407
109.213483146,0.028332962,0.030621301
111.235955056,0.021185526,0.022975625
113.258426966,0.018362619,0.016812566
115.280898876,0.014657989,0.012278605
117.303370787,0.012324570,0.009214811
119.325842697,0.010976775,0.007305019
121.348314607,0.009682138,0.006203639
123.370786517,0.009221105,0.005614746
125.393258427,0.007787992,0.005322347
127.415730337,0.007481728,0.005187365
129.438202247,0.007024267,0.005129373
131.460674157,0.006616089,0.005106170
133.483146067,0.006833619,0.005097518
135.505617978,0.006309984,0.005094510
137.528089888,0.005876226,0.005093535
139.550561798,0.005497088,0.005093240
141.573033708,0.005104266,0.005093156
143.595505618,0.005304281,0.005093134
145.617977528,0.005155961,0.005093129
147.640449438,0.004951205,0.005093128
149.662921348,0.004933031,0.005093127
151.685393258,0.004839563,0.005093127
153.707865169,0.004786298,0.005093127
155.730337079,0.004551698,0.005093127
157.752808989,0.004535444,0.005093127
159.775280899,0.004169334,0.005093127
161.797752809,0.003952033,0.005093127
163.820224719,0.004489172,0.005093127
165.842696629,0.004263800,0.005093127
167.865168539,0.004437837,0.005093127
169.887640449,0.004341368,0.005093127
171.910112360,0.004241643,0.005093127
173.932584270,0.003975472,0.005093127
175.955056180,0.003937105,0.005093127
177.977528090,0.003588405,0.005093127
180.000000000,0.004632786,0.005093127
