Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...7goodIF/4xstitchedimages/12pt5_rep34x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...7goodIF/4xstitchedimages/12pt5_rep34x_fullWellFiltered-fit
0.000000000,0.007232939,0.008076610
2.022471910,0.007054463,0.008098977
4.044943820,0.007340691,0.008126568
6.067415730,0.007174487,0.008160365
8.089887640,0.007438732,0.008201473
10.112359551,0.007800273,0.008251119
12.134831461,0.008269855,0.008310646
14.157303371,0.008227991,0.008381508
16.179775281,0.008150917,0.008465252
18.202247191,0.007948712,0.008563495
20.224719101,0.008296577,0.008677895
22.247191011,0.008631284,0.008810117
24.269662921,0.009033544,0.008961781
26.292134831,0.009442986,0.009134417
28.314606742,0.009532524,0.009329400
30.337078652,0.009798938,0.009547891
32.359550562,0.010026994,0.009790763
34.382022472,0.010081342,0.010058532
36.404494382,0.010511204,0.010351291
38.426966292,0.010904933,0.010668641
40.449438202,0.011039566,0.011009632
42.471910112,0.011531305,0.011372715
44.494382022,0.011892090,0.011755710
46.516853933,0.012497924,0.012155782
48.539325843,0.013026407,0.012569449
50.561797753,0.013013911,0.012992601
52.584269663,0.013430393,0.013420547
54.606741573,0.013546796,0.013848083
56.629213483,0.014020005,0.014269589
58.651685393,0.014420478,0.014679137
60.674157303,0.014628700,0.015070629
62.696629213,0.014719153,0.015437939
64.719101124,0.014334569,0.015775071
66.741573034,0.015426205,0.016076322
68.764044944,0.016166042,0.016336442
70.786516854,0.015880544,0.016550782
72.808988764,0.016216726,0.016715435
74.831460674,0.016752775,0.016827354
76.853932584,0.017539088,0.016884446
78.876404494,0.019113971,0.016885635
80.898876404,0.019297043,0.016830901
82.921348315,0.018697595,0.016721272
84.943820225,0.017582339,0.016558801
86.966292135,0.016979056,0.016346496
88.988764045,0.016568719,0.016088229
91.011235955,0.015751014,0.015788619
93.033707865,0.014925741,0.015452896
95.056179775,0.013663271,0.015086747
97.078651685,0.013286949,0.014696157
99.101123596,0.013432096,0.014287250
101.123595506,0.012750901,0.013866129
103.146067416,0.012428844,0.013438732
105.168539326,0.011990240,0.013010695
107.191011236,0.011874758,0.012587240
109.213483146,0.011374409,0.012173083
111.235955056,0.011097851,0.011772358
113.258426966,0.010570643,0.011388577
115.280898876,0.010670027,0.011024600
117.303370787,0.010729939,0.010682637
119.325842697,0.010694239,0.010364260
121.348314607,0.010356289,0.010070446
123.370786517,0.010436874,0.009801615
125.393258427,0.010516236,0.009557695
127.415730337,0.010251649,0.009338185
129.438202247,0.010331833,0.009142226
131.460674157,0.010556861,0.008968669
133.483146067,0.010132254,0.008816145
135.505617978,0.010177454,0.008683131
137.528089888,0.009909469,0.008568008
139.550561798,0.009886231,0.008469114
141.573033708,0.009675843,0.008384788
143.595505618,0.009209952,0.008313411
145.617977528,0.009029233,0.008253433
147.640449438,0.009057995,0.008203397
149.662921348,0.009183262,0.008161953
151.685393258,0.008483143,0.008127868
153.707865169,0.008225132,0.008100035
155.730337079,0.008306981,0.008077465
157.752808989,0.008108336,0.008059291
159.775280899,0.008282975,0.008044759
161.797752809,0.007649839,0.008033219
163.820224719,0.007696981,0.008024117
165.842696629,0.007266739,0.008016989
167.865168539,0.007163321,0.008011443
169.887640449,0.007243440,0.008007159
171.910112360,0.007451014,0.008003871
173.932584270,0.007511558,0.008001365
175.955056180,0.007220470,0.007999468
177.977528090,0.006983988,0.007998041
180.000000000,0.007232939,0.007996975
