Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/25_rep3_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/25_rep3_4x-MaxIP-fit
0.000000000,0.012571529,0.010845692
2.022471910,0.012338890,0.010845692
4.044943820,0.011962117,0.010845692
6.067415730,0.011952616,0.010845692
8.089887640,0.012378905,0.010845692
10.112359551,0.012576144,0.010845692
12.134831461,0.012107388,0.010845692
14.157303371,0.012110254,0.010845692
16.179775281,0.012036228,0.010845692
18.202247191,0.012223038,0.010845692
20.224719101,0.012024845,0.010845692
22.247191011,0.011330140,0.010845692
24.269662921,0.011153975,0.010845692
26.292134831,0.011311964,0.010845692
28.314606742,0.011194485,0.010845692
30.337078652,0.010996808,0.010845692
32.359550562,0.010850504,0.010845692
34.382022472,0.010578614,0.010845692
36.404494382,0.010524237,0.010845692
38.426966292,0.010298203,0.010845693
40.449438202,0.010444036,0.010845694
42.471910112,0.010392772,0.010845702
44.494382022,0.010777347,0.010845733
46.516853933,0.010248572,0.010845845
48.539325843,0.010434673,0.010846219
50.561797753,0.010251241,0.010847360
52.584269663,0.010418782,0.010850546
54.606741573,0.010475266,0.010858693
56.629213483,0.010715713,0.010877737
58.651685393,0.010598982,0.010918372
60.674157303,0.011489472,0.010997378
62.696629213,0.011343940,0.011137005
64.719101124,0.012380652,0.011360510
66.741573034,0.011811856,0.011682889
68.764044944,0.011555181,0.012098493
70.786516854,0.012279535,0.012570799
72.808988764,0.012986340,0.013031591
74.831460674,0.013159194,0.013394425
76.853932584,0.013851051,0.013580321
78.876404494,0.013776679,0.013545623
80.898876404,0.013369966,0.013298632
82.921348315,0.012794157,0.012896387
84.943820225,0.012286530,0.012423286
86.966292135,0.011919681,0.011962477
88.988764045,0.011753678,0.011573177
91.011235955,0.011462168,0.011281764
93.033707865,0.011024340,0.011086224
95.056179775,0.010684938,0.010967778
97.078651685,0.010226485,0.010902714
99.101123596,0.009971303,0.010870199
101.123595506,0.009863544,0.010855384
103.146067416,0.009718457,0.010849219
105.168539326,0.009623970,0.010846873
107.191011236,0.009579764,0.010846056
109.213483146,0.009875554,0.010845795
111.235955056,0.009264865,0.010845719
113.258426966,0.009335570,0.010845698
115.280898876,0.009080441,0.010845693
117.303370787,0.009453169,0.010845692
119.325842697,0.009000537,0.010845692
121.348314607,0.009099599,0.010845692
123.370786517,0.009466179,0.010845692
125.393258427,0.009274765,0.010845692
127.415730337,0.009321670,0.010845692
129.438202247,0.009375039,0.010845692
131.460674157,0.009447515,0.010845692
133.483146067,0.009932784,0.010845692
135.505617978,0.010052188,0.010845692
137.528089888,0.009989584,0.010845692
139.550561798,0.010232397,0.010845692
141.573033708,0.010411259,0.010845692
143.595505618,0.010522410,0.010845692
145.617977528,0.010576857,0.010845692
147.640449438,0.010351353,0.010845692
149.662921348,0.010617229,0.010845692
151.685393258,0.010680532,0.010845692
153.707865169,0.010879303,0.010845692
155.730337079,0.011197519,0.010845692
157.752808989,0.011567751,0.010845692
159.775280899,0.011672439,0.010845692
161.797752809,0.012097349,0.010845692
163.820224719,0.012133008,0.010845692
165.842696629,0.012434434,0.010845692
167.865168539,0.012153997,0.010845692
169.887640449,0.012096684,0.010845692
171.910112360,0.012477581,0.010845692
173.932584270,0.012341346,0.010845692
175.955056180,0.012546671,0.010845692
177.977528090,0.012277746,0.010845692
180.000000000,0.012571529,0.010845692
