Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/62pt5_rep1_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/62pt5_rep1_4x-MaxIP-fit
0.000000000,0.009337730,0.009224569
2.022471910,0.008996426,0.009224657
4.044943820,0.009430272,0.009224805
6.067415730,0.009315511,0.009225048
8.089887640,0.009161556,0.009225442
10.112359551,0.009397980,0.009226072
12.134831461,0.009464618,0.009227064
14.157303371,0.009389263,0.009228604
16.179775281,0.009713895,0.009230960
18.202247191,0.009541311,0.009234512
20.224719101,0.009574375,0.009239789
22.247191011,0.009594368,0.009247514
24.269662921,0.009587391,0.009258653
26.292134831,0.009608174,0.009274478
28.314606742,0.009850028,0.009296625
30.337078652,0.010028292,0.009327154
32.359550562,0.010180909,0.009368600
34.382022472,0.010264988,0.009424005
36.404494382,0.010302570,0.009496932
38.426966292,0.010288491,0.009591427
40.449438202,0.010420184,0.009711940
42.471910112,0.010766904,0.009863181
44.494382022,0.011019927,0.010049912
46.516853933,0.011064025,0.010276659
48.539325843,0.011336230,0.010547370
50.561797753,0.011695638,0.010865007
52.584269663,0.011871165,0.011231116
54.606741573,0.012343476,0.011645398
56.629213483,0.012249796,0.012105309
58.651685393,0.012431573,0.012605759
60.674157303,0.012729002,0.013138929
62.696629213,0.013153921,0.013694264
64.719101124,0.013868118,0.014258659
66.741573034,0.014100471,0.014816864
68.764044944,0.014609353,0.015352098
70.786516854,0.015350712,0.015846837
72.808988764,0.015608544,0.016283750
74.831460674,0.016211350,0.016646691
76.853932584,0.016354468,0.016921686
78.876404494,0.016844230,0.017097823
80.898876404,0.017340426,0.017167974
82.921348315,0.017403335,0.017129269
84.943820225,0.017506819,0.016983293
86.966292135,0.018157945,0.016735979
88.988764045,0.017271766,0.016397206
91.011235955,0.017189817,0.015980145
93.033707865,0.016143637,0.015500413
95.056179775,0.015057758,0.014975102
97.078651685,0.014269117,0.014421777
99.101123596,0.013188836,0.013857525
101.123595506,0.012468908,0.013298112
103.146067416,0.012250299,0.012757314
105.168539326,0.011502313,0.012246455
107.191011236,0.011662932,0.011774154
109.213483146,0.011302373,0.011346280
111.235955056,0.010778265,0.010966088
113.258426966,0.010309482,0.010634489
115.280898876,0.010264398,0.010350431
117.303370787,0.009662337,0.010111314
119.325842697,0.009742239,0.009913434
121.348314607,0.009438060,0.009752394
123.370786517,0.009228963,0.009623468
125.393258427,0.009299538,0.009521906
127.415730337,0.009172767,0.009443165
129.438202247,0.009029927,0.009383071
131.460674157,0.008994492,0.009337917
133.483146067,0.008947885,0.009304507
135.505617978,0.008826778,0.009280163
137.528089888,0.008980209,0.009262691
139.550561798,0.008762167,0.009250340
141.573033708,0.008748218,0.009241738
143.595505618,0.008742767,0.009235836
145.617977528,0.008783759,0.009231846
147.640449438,0.008704711,0.009229188
149.662921348,0.008891373,0.009227444
151.685393258,0.008905591,0.009226315
153.707865169,0.008783638,0.009225596
155.730337079,0.008817499,0.009225144
157.752808989,0.008913418,0.009224864
159.775280899,0.008993081,0.009224693
161.797752809,0.009126543,0.009224590
163.820224719,0.008906152,0.009224529
165.842696629,0.008962271,0.009224493
167.865168539,0.008926937,0.009224473
169.887640449,0.009054910,0.009224461
171.910112360,0.008948640,0.009224455
173.932584270,0.009100989,0.009224451
175.955056180,0.008974112,0.009224449
177.977528090,0.009166637,0.009224448
180.000000000,0.009337730,0.009224448
