Stamp_Parameters,rep,location,mean_angle,stdd,goodness_of_fit,percent_near90,Category
12.5,1,,74.03609095856865,24.402959405920587,0.9450174399064948,0.300069006,grooved
12.5,2,,76.97249863629212,37.37377774745205,0.8270561664325555,0.26266616,grooved
12.5,3,,77.90727020292603,25.46038626681749,0.9354680822525804,0.3108977119999999,grooved
25,1,,80.18079457986995,29.308427539043645,0.8267690753399848,0.286531432,grooved
25,2,,81.10458112037716,30.347259403475565,0.869915168502323,0.2874878979999999,grooved
25,3,,73.01440067266006,26.22667139115584,0.9216265551400477,0.271473068,grooved
62.5,1,,80.21229270396975,31.98545826034061,0.907311611425448,0.283157988,grooved
62.5,2,,82.7321652841495,45.84935282292226,0.8788787770827172,0.2671181549999999,grooved
62.5,3,,85.81165282516848,48.03319165923416,0.827401916163393,0.258850778,grooved
125,1,,86.57611812313459,15.855138598015143,0.8410650576261857,0.303392351,grooved
125,2,,74.46647033464446,30.353634276209487,0.8868962289303044,0.265358743,grooved
125,3,,80.65281540590165,28.941463089413915,0.9271777999369282,0.294169131,grooved
flat,1,,142.64661945733582,16.77618735806757,0.8765252573308943,0.209338791,ungrooved
flat,2,,161.24700745579173,16.93403728363193,0.2603773657326664,0.157191637,ungrooved
flat,3,,141.42459550783784,19.30970875736265,0.8296176981311196,0.1834780709999999,ungrooved
unstamped,1,,145.7067861982387,16.910717302657016,0.4321840687319587,0.1859091779999999,ungrooved
unstamped,2,,46.04437613104098,19.98446098604684,0.8675063310875287,0.226380531,ungrooved
unstamped,3,,131.1234386281746,12.66673367843279,0.5842352937473547,0.21101283899999995,ungrooved
