Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/flat_rep3_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/flat_rep3_4x-MaxIP-fit
0.000000000,0.012906505,0.009954885
2.022471910,0.012723890,0.009954885
4.044943820,0.012866933,0.009954885
6.067415730,0.012640639,0.009954885
8.089887640,0.012343876,0.009954885
10.112359551,0.012203082,0.009954885
12.134831461,0.012283136,0.009954885
14.157303371,0.011689029,0.009954885
16.179775281,0.011717511,0.009954885
18.202247191,0.011385186,0.009954886
20.224719101,0.011318269,0.009954886
22.247191011,0.011175805,0.009954887
24.269662921,0.011163350,0.009954889
26.292134831,0.011087353,0.009954892
28.314606742,0.010889753,0.009954895
30.337078652,0.010599460,0.009954901
32.359550562,0.010399990,0.009954909
34.382022472,0.010288139,0.009954921
36.404494382,0.010057577,0.009954938
38.426966292,0.009847663,0.009954964
40.449438202,0.009880882,0.009955001
42.471910112,0.009789595,0.009955053
44.494382022,0.009325628,0.009955129
46.516853933,0.009267198,0.009955234
48.539325843,0.009157493,0.009955383
50.561797753,0.009132757,0.009955590
52.584269663,0.009016585,0.009955876
54.606741573,0.008993388,0.009956268
56.629213483,0.009155330,0.009956802
58.651685393,0.009183394,0.009957525
60.674157303,0.009120319,0.009958494
62.696629213,0.009012175,0.009959786
64.719101124,0.008987025,0.009961495
66.741573034,0.008887520,0.009963739
68.764044944,0.008531619,0.009966663
70.786516854,0.008659297,0.009970447
72.808988764,0.008427708,0.009975305
74.831460674,0.008305385,0.009981497
76.853932584,0.008422286,0.009989329
78.876404494,0.008536826,0.009999162
80.898876404,0.008278494,0.010011413
82.921348315,0.008348036,0.010026562
84.943820225,0.008336355,0.010045149
86.966292135,0.008559164,0.010067780
88.988764045,0.008651513,0.010095120
91.011235955,0.008951595,0.010127892
93.033707865,0.008908211,0.010166865
95.056179775,0.009318318,0.010212843
97.078651685,0.009498895,0.010266649
99.101123596,0.009615635,0.010329105
101.123595506,0.009810347,0.010401006
103.146067416,0.009884858,0.010483089
105.168539326,0.010077819,0.010576003
107.191011236,0.010464110,0.010680272
109.213483146,0.010234574,0.010796260
111.235955056,0.010765762,0.010924130
113.258426966,0.010828349,0.011063806
115.280898876,0.011207795,0.011214946
117.303370787,0.011248696,0.011376906
119.325842697,0.012228519,0.011548724
121.348314607,0.012320678,0.011729101
123.370786517,0.012818418,0.011916403
125.393258427,0.012924946,0.012108666
127.415730337,0.013153369,0.012303624
129.438202247,0.012831062,0.012498735
131.460674157,0.013191024,0.012691238
133.483146067,0.013756467,0.012878205
135.505617978,0.013463068,0.013056617
137.528089888,0.013660599,0.013223441
139.550561798,0.013775184,0.013375713
141.573033708,0.013705319,0.013510627
143.595505618,0.013619994,0.013625619
145.617977528,0.013874841,0.013718450
147.640449438,0.013383069,0.013787274
149.662921348,0.012951865,0.013830703
151.685393258,0.012789778,0.013847854
153.707865169,0.012734331,0.013838375
155.730337079,0.013188661,0.013802460
157.752808989,0.012913389,0.013740842
159.775280899,0.013201234,0.013654769
161.797752809,0.013474652,0.013545957
163.820224719,0.013473950,0.013416540
165.842696629,0.013144533,0.013268998
167.865168539,0.013025980,0.013106074
169.887640449,0.013157935,0.012930695
171.910112360,0.013040816,0.012745885
173.932584270,0.013232609,0.012554674
175.955056180,0.012989443,0.012360023
177.977528090,0.012699680,0.012164750
180.000000000,0.012906505,0.011971463
