Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...t7goodIF/4xstitchedimages/125_rep14x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...t7goodIF/4xstitchedimages/125_rep14x_fullWellFiltered-fit
0.000000000,0.020715595,0.005246483
2.022471910,0.002310318,0.005586213
4.044943820,0.006674458,0.005929247
6.067415730,0.008022383,0.006275111
8.089887640,0.004420201,0.006623308
10.112359551,0.002867027,0.006973319
12.134831461,0.011965145,0.007324602
14.157303371,0.004362570,0.007676594
16.179775281,0.002976066,0.008028717
18.202247191,0.012550553,0.008380371
20.224719101,0.007315987,0.008730943
22.247191011,0.002173279,0.009079804
24.269662921,0.007521307,0.009426314
26.292134831,0.006507241,0.009769819
28.314606742,0.010103783,0.010109661
30.337078652,0.006663626,0.010445170
32.359550562,0.007487697,0.010775676
34.382022472,0.015008078,0.011100503
36.404494382,0.003329416,0.011418978
38.426966292,0.018073627,0.011730426
40.449438202,0.002410004,0.012034180
42.471910112,0.003253438,0.012329579
44.494382022,0.050710073,0.012615968
46.516853933,0.000448006,0.012892709
48.539325843,0.011650195,0.013159173
50.561797753,0.016549082,0.013414749
52.584269663,0.014633747,0.013658845
54.606741573,0.029059165,0.013890890
56.629213483,0.004646780,0.014110335
58.651685393,0.014676841,0.014316657
60.674157303,0.018584550,0.014509360
62.696629213,0.021763024,0.014687978
64.719101124,0.002896755,0.014852073
66.741573034,0.012374685,0.015001245
68.764044944,0.031879679,0.015135125
70.786516854,0.001643924,0.015253381
72.808988764,0.005830375,0.015355718
74.831460674,0.026122913,0.015441881
76.853932584,0.015754561,0.015511654
78.876404494,0.003811344,0.015564861
80.898876404,0.015664677,0.015601368
82.921348315,0.026434984,0.015621083
84.943820225,0.002043761,0.015623956
86.966292135,0.007109671,0.015609980
88.988764045,0.053460641,0.015579190
91.011235955,0.007601022,0.015531664
93.033707865,0.002014708,0.015467522
95.056179775,0.024786104,0.015386925
97.078651685,0.014721296,0.015290075
99.101123596,0.003756070,0.015177216
101.123595506,0.013629424,0.015048627
103.146067416,0.024420275,0.014904630
105.168539326,0.005200929,0.014745579
107.191011236,0.001583371,0.014571865
109.213483146,0.028829342,0.014383914
111.235955056,0.011403962,0.014182181
113.258426966,0.002949113,0.013967153
115.280898876,0.018323461,0.013739343
117.303370787,0.016910384,0.013499293
119.325842697,0.012979329,0.013247565
121.348314607,0.004125493,0.012984746
123.370786517,0.026088370,0.012711439
125.393258427,0.012904295,0.012428268
127.415730337,0.015078335,0.012135869
129.438202247,0.010331882,0.011834889
131.460674157,0.000455700,0.011525990
133.483146067,0.045981836,0.011209835
135.505617978,0.003129979,0.010887098
137.528089888,0.002146363,0.010558453
139.550561798,0.016873853,0.010224573
141.573033708,0.002933296,0.009886134
143.595505618,0.014365493,0.009543803
145.617977528,0.007086159,0.009198244
147.640449438,0.006258312,0.008850112
149.662921348,0.009783066,0.008500052
151.685393258,0.006308494,0.008148697
153.707865169,0.007093069,0.007796666
155.730337079,0.002054484,0.007444563
157.752808989,0.007002063,0.007092974
159.775280899,0.012027479,0.006742468
161.797752809,0.002615890,0.006393593
163.820224719,0.004228669,0.006046876
165.842696629,0.011965319,0.005702823
167.865168539,0.002804402,0.005361915
169.887640449,0.004364221,0.005024611
171.910112360,0.008144836,0.004691344
173.932584270,0.006222705,0.004362524
175.955056180,0.002355293,0.004038532
177.977528090,0.001700625,0.003719724
180.000000000,0.000000000,0.003406433
