Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...nt7goodIF/4xstitchedimages/25_rep34x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...nt7goodIF/4xstitchedimages/25_rep34x_fullWellFiltered-fit
0.000000000,0.019594596,0.006155588
2.022471910,0.002490112,0.006473802
4.044943820,0.006432149,0.006796135
6.067415730,0.008072319,0.007122087
8.089887640,0.004468996,0.007451128
10.112359551,0.002935118,0.007782698
12.134831461,0.012893436,0.008116210
14.157303371,0.004473365,0.008451048
16.179775281,0.002962293,0.008786574
18.202247191,0.012898883,0.009122124
20.224719101,0.007492393,0.009457014
22.247191011,0.002306481,0.009790540
24.269662921,0.007894567,0.010121980
26.292134831,0.007132236,0.010450600
28.314606742,0.010561460,0.010775652
30.337078652,0.007491563,0.011096379
32.359550562,0.008382524,0.011412018
34.382022472,0.016835994,0.011721800
36.404494382,0.003680937,0.012024960
38.426966292,0.020298815,0.012320732
40.449438202,0.002598376,0.012608356
42.471910112,0.003605015,0.012887083
44.494382022,0.057784884,0.013156174
46.516853933,0.000456729,0.013414907
48.539325843,0.012443795,0.013662578
50.561797753,0.018084756,0.013898505
52.584269663,0.015748957,0.014122029
54.606741573,0.030929228,0.014332523
56.629213483,0.004886940,0.014529387
58.651685393,0.016076774,0.014712057
60.674157303,0.019062829,0.014880005
62.696629213,0.022523251,0.015032741
64.719101124,0.003128677,0.015169818
66.741573034,0.012276306,0.015290831
68.764044944,0.032509599,0.015395422
70.786516854,0.001756424,0.015483278
72.808988764,0.006204539,0.015554138
74.831460674,0.026106112,0.015607788
76.853932584,0.016424447,0.015644068
78.876404494,0.003725384,0.015662869
80.898876404,0.015556138,0.015664133
82.921348315,0.026297610,0.015647856
84.943820225,0.002184145,0.015614089
86.966292135,0.006948058,0.015562932
88.988764045,0.050483802,0.015494539
91.011235955,0.007898312,0.015409117
93.033707865,0.002143144,0.015306919
95.056179775,0.023193079,0.015188250
97.078651685,0.014035271,0.015053464
99.101123596,0.003685201,0.014902957
101.123595506,0.012772192,0.014737171
103.146067416,0.023082424,0.014556590
105.168539326,0.005054625,0.014361737
107.191011236,0.001505690,0.014153170
109.213483146,0.027446040,0.013931485
111.235955056,0.011332975,0.013697305
113.258426966,0.002659311,0.013451284
115.280898876,0.016974480,0.013194102
117.303370787,0.016221272,0.012926459
119.325842697,0.011979562,0.012649075
121.348314607,0.003800867,0.012362686
123.370786517,0.024141600,0.012068041
125.393258427,0.011756842,0.011765899
127.415730337,0.013519985,0.011457023
129.438202247,0.009104498,0.011142181
131.460674157,0.000379955,0.010822140
133.483146067,0.042077820,0.010497664
135.505617978,0.002532099,0.010169512
137.528089888,0.001891686,0.009838432
139.550561798,0.016216662,0.009505162
141.573033708,0.002906044,0.009170424
143.595505618,0.014029458,0.008834927
145.617977528,0.006921415,0.008499356
147.640449438,0.005685763,0.008164379
149.662921348,0.009736926,0.007830637
151.685393258,0.005723414,0.007498751
153.707865169,0.007010279,0.007169310
155.730337079,0.001844229,0.006842880
157.752808989,0.006855266,0.006519994
159.775280899,0.011982691,0.006201156
161.797752809,0.002709837,0.005886841
163.820224719,0.004103287,0.005577489
165.842696629,0.011840764,0.005273510
167.865168539,0.002815804,0.004975281
169.887640449,0.004300100,0.004683144
171.910112360,0.008348266,0.004397412
173.932584270,0.006261623,0.004118364
175.955056180,0.002475571,0.003846245
177.977528090,0.001942660,0.003581272
180.000000000,0.000000000,0.003323627
