Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...7goodIF/4xstitchedimages/flat_rep24x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...7goodIF/4xstitchedimages/flat_rep24x_fullWellFiltered-fit
0.000000000,0.028047589,0.010154040
2.022471910,0.002806437,0.010154051
4.044943820,0.008914581,0.010154085
6.067415730,0.011723374,0.010154183
8.089887640,0.005887271,0.010154452
10.112359551,0.003577109,0.010155149
12.134831461,0.018052417,0.010156863
14.157303371,0.006189065,0.010160849
16.179775281,0.003763929,0.010169628
18.202247191,0.018163318,0.010187916
20.224719101,0.010261258,0.010223943
22.247191011,0.002432348,0.010291009
24.269662921,0.010857371,0.010408887
26.292134831,0.009524328,0.010604311
28.314606742,0.014315575,0.010909491
30.337078652,0.009787812,0.011357624
32.359550562,0.009716730,0.011974938
34.382022472,0.020851718,0.012770017
36.404494382,0.003806081,0.013722834
38.426966292,0.024647040,0.014777299
40.449438202,0.002107073,0.015841447
42.471910112,0.003164262,0.016797888
44.494382022,0.060878488,0.017523986
46.516853933,0.000442054,0.017917375
48.539325843,0.011860184,0.017919580
50.561797753,0.017225866,0.017530267
52.584269663,0.014318365,0.016807327
54.606741573,0.025638240,0.015852763
56.629213483,0.004932802,0.014789129
58.651685393,0.013906807,0.013733999
60.674157303,0.014949607,0.012779692
62.696629213,0.019106992,0.011982710
64.719101124,0.003059607,0.011363448
66.741573034,0.010213600,0.010913577
68.764044944,0.026864126,0.010607004
70.786516854,0.001513169,0.010410557
72.808988764,0.005292495,0.010291984
74.831460674,0.021079606,0.010224481
76.853932584,0.013122054,0.010188196
78.876404494,0.003328924,0.010169765
80.898876404,0.012191123,0.010160913
82.921348315,0.020456708,0.010156891
84.943820225,0.001983944,0.010155161
86.966292135,0.005693808,0.010154457
88.988764045,0.039537148,0.010154185
91.011235955,0.006389219,0.010154086
93.033707865,0.001920654,0.010154051
95.056179775,0.018753473,0.010154040
97.078651685,0.010875646,0.010154036
99.101123596,0.002999083,0.010154035
101.123595506,0.010856625,0.010154035
103.146067416,0.018284514,0.010154035
105.168539326,0.004352456,0.010154035
107.191011236,0.001293792,0.010154035
109.213483146,0.023235623,0.010154035
111.235955056,0.008923107,0.010154035
113.258426966,0.002576615,0.010154035
115.280898876,0.015326273,0.010154035
117.303370787,0.013337005,0.010154035
119.325842697,0.011303995,0.010154035
121.348314607,0.003819903,0.010154035
123.370786517,0.021280858,0.010154035
125.393258427,0.011340799,0.010154035
127.415730337,0.013674491,0.010154035
129.438202247,0.009450462,0.010154035
131.460674157,0.000396309,0.010154035
133.483146067,0.044107225,0.010154035
135.505617978,0.002552045,0.010154035
137.528089888,0.001897358,0.010154035
139.550561798,0.018034615,0.010154035
141.573033708,0.003217873,0.010154035
143.595505618,0.016416038,0.010154035
145.617977528,0.007766256,0.010154035
147.640449438,0.007144716,0.010154035
149.662921348,0.011930386,0.010154035
151.685393258,0.007381221,0.010154035
153.707865169,0.008421850,0.010154035
155.730337079,0.002118280,0.010154035
157.752808989,0.008974070,0.010154035
159.775280899,0.015281458,0.010154035
161.797752809,0.003111578,0.010154035
163.820224719,0.005532647,0.010154035
165.842696629,0.015680593,0.010154035
167.865168539,0.003369417,0.010154035
169.887640449,0.005547003,0.010154035
171.910112360,0.011312379,0.010154035
173.932584270,0.008070859,0.010154035
175.955056180,0.002926036,0.010154035
177.977528090,0.002622795,0.010154035
180.000000000,0.000000000,0.010154035
