Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...odIF/4xstitchedimages/unstamped_rep14x_fullWellFiltered,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/20240...odIF/4xstitchedimages/unstamped_rep14x_fullWellFiltered-fit
0.000000000,0.037794379,0.010578434
2.022471910,0.003137304,0.010578434
4.044943820,0.010969635,0.010578434
6.067415730,0.014263009,0.010578434
8.089887640,0.007087238,0.010578434
10.112359551,0.004752059,0.010578434
12.134831461,0.018430512,0.010578434
14.157303371,0.007334491,0.010578434
16.179775281,0.002909913,0.010578434
18.202247191,0.020637538,0.010578434
20.224719101,0.010324119,0.010578434
22.247191011,0.001977306,0.010578434
24.269662921,0.011910424,0.010578434
26.292134831,0.008076051,0.010578434
28.314606742,0.013125818,0.010578434
30.337078652,0.007936270,0.010578434
32.359550562,0.007188330,0.010578434
34.382022472,0.019133329,0.010578434
36.404494382,0.003031759,0.010578434
38.426966292,0.021198511,0.010578434
40.449438202,0.001802841,0.010578434
42.471910112,0.002492523,0.010578434
44.494382022,0.045784197,0.010578434
46.516853933,0.000429375,0.010578434
48.539325843,0.008401225,0.010578434
50.561797753,0.013442913,0.010578434
52.584269663,0.010609148,0.010578434
54.606741573,0.019477802,0.010578434
56.629213483,0.003898425,0.010578434
58.651685393,0.010281396,0.010578434
60.674157303,0.011184016,0.010578434
62.696629213,0.013787702,0.010578434
64.719101124,0.002669569,0.010578434
66.741573034,0.008113858,0.010578434
68.764044944,0.019221487,0.010578434
70.786516854,0.001507483,0.010578434
72.808988764,0.004069798,0.010578434
74.831460674,0.015129651,0.010578434
76.853932584,0.009208858,0.010578434
78.876404494,0.002578520,0.010578434
80.898876404,0.008459804,0.010578434
82.921348315,0.014501801,0.010578434
84.943820225,0.001622348,0.010578434
86.966292135,0.004754276,0.010578434
88.988764045,0.033406916,0.010578434
91.011235955,0.004736893,0.010578434
93.033707865,0.001802753,0.010578434
95.056179775,0.015744071,0.010578434
97.078651685,0.008890160,0.010578434
99.101123596,0.002637411,0.010578434
101.123595506,0.010294024,0.010578434
103.146067416,0.016177555,0.010578434
105.168539326,0.004648617,0.010578434
107.191011236,0.001596599,0.010578434
109.213483146,0.021183028,0.010578434
111.235955056,0.008435586,0.010578434
113.258426966,0.003144233,0.010578434
115.280898876,0.015598368,0.010578434
117.303370787,0.012171329,0.010578434
119.325842697,0.012235076,0.010578434
121.348314607,0.004665096,0.010578434
123.370786517,0.022134748,0.010578434
125.393258427,0.012890613,0.010578434
127.415730337,0.016501269,0.010578434
129.438202247,0.010231575,0.010578434
131.460674157,0.000458153,0.010578434
133.483146067,0.058519394,0.058519394
135.505617978,0.002975142,0.010578434
137.528089888,0.002220747,0.010578434
139.550561798,0.027291035,0.010578434
141.573033708,0.003587840,0.010578434
143.595505618,0.023963652,0.010578434
145.617977528,0.008972057,0.010578434
147.640449438,0.010322730,0.010578434
149.662921348,0.015674509,0.010578434
151.685393258,0.010162183,0.010578434
153.707865169,0.015549750,0.010578434
155.730337079,0.002535050,0.010578434
157.752808989,0.011950309,0.010578434
159.775280899,0.023771151,0.010578434
161.797752809,0.003357007,0.010578434
163.820224719,0.008128170,0.010578434
165.842696629,0.020827053,0.010578434
167.865168539,0.005003452,0.010578434
169.887640449,0.007538289,0.010578434
171.910112360,0.015454904,0.010578434
173.932584270,0.012463672,0.010578434
175.955056180,0.003255272,0.010578434
177.977528090,0.002245550,0.010578434
180.000000000,0.000000000,0.010578434
