Direction (°),C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/unstamped_rep2_4x-MaxIP,C:/Users/laSch/Dropbox(MIT)/RamanLab/LauraSchwendeman/unstamped_rep2_4x-MaxIP-fit
0.000000000,0.015931275,0.010221434
2.022471910,0.015202498,0.010221434
4.044943820,0.015190179,0.010221434
6.067415730,0.015133837,0.010221434
8.089887640,0.015487281,0.010221434
10.112359551,0.015550465,0.010221434
12.134831461,0.015142408,0.010221434
14.157303371,0.014911947,0.010221434
16.179775281,0.014861154,0.010221434
18.202247191,0.014983303,0.010221434
20.224719101,0.014725738,0.010221434
22.247191011,0.014554159,0.010221434
24.269662921,0.013745829,0.010221434
26.292134831,0.013470880,0.010221434
28.314606742,0.012562402,0.010221434
30.337078652,0.012847399,0.010221434
32.359550562,0.012396286,0.010221434
34.382022472,0.012351937,0.010221434
36.404494382,0.011928258,0.010221434
38.426966292,0.011624315,0.010221434
40.449438202,0.011580156,0.010221434
42.471910112,0.011054285,0.010221434
44.494382022,0.010893631,0.010221434
46.516853933,0.010560398,0.010221434
48.539325843,0.010620948,0.010221434
50.561797753,0.010417841,0.010221434
52.584269663,0.009708027,0.010221434
54.606741573,0.009455674,0.010221434
56.629213483,0.009393365,0.010221434
58.651685393,0.009224309,0.010221434
60.674157303,0.008943127,0.010221434
62.696629213,0.008898423,0.010221434
64.719101124,0.008909073,0.010221434
66.741573034,0.008507362,0.010221434
68.764044944,0.008425349,0.010221434
70.786516854,0.008349911,0.010221434
72.808988764,0.008295944,0.010221434
74.831460674,0.008196873,0.010221434
76.853932584,0.008150617,0.010221434
78.876404494,0.007935793,0.010221434
80.898876404,0.007889508,0.010221434
82.921348315,0.007691518,0.010221434
84.943820225,0.007650837,0.010221434
86.966292135,0.007687872,0.010221435
88.988764045,0.007682090,0.010221435
91.011235955,0.007513961,0.010221435
93.033707865,0.007467957,0.010221436
95.056179775,0.007402958,0.010221438
97.078651685,0.007473432,0.010221443
99.101123596,0.007453114,0.010221452
101.123595506,0.007411306,0.010221470
103.146067416,0.007542279,0.010221506
105.168539326,0.007640221,0.010221573
107.191011236,0.007358388,0.010221699
109.213483146,0.007801575,0.010221928
111.235955056,0.007861124,0.010222338
113.258426966,0.007928283,0.010223055
115.280898876,0.007902459,0.010224283
117.303370787,0.008102500,0.010226342
119.325842697,0.008225037,0.010229723
121.348314607,0.008307472,0.010235154
123.370786517,0.008294023,0.010243692
125.393258427,0.008684403,0.010256827
127.415730337,0.008913898,0.010276596
129.438202247,0.009086583,0.010305699
131.460674157,0.009413204,0.010347599
133.483146067,0.009657712,0.010406581
135.505617978,0.009771582,0.010487738
137.528089888,0.010048369,0.010596859
139.550561798,0.010231195,0.010740178
141.573033708,0.010492432,0.010923971
143.595505618,0.011014001,0.011153978
145.617977528,0.011511310,0.011434696
147.640449438,0.011788256,0.011768555
149.662921348,0.012197146,0.012155090
151.685393258,0.012821240,0.012590181
153.707865169,0.013828812,0.013065522
155.730337079,0.014207563,0.013568407
157.752808989,0.014307462,0.014081957
159.775280899,0.015001410,0.014585838
161.797752809,0.015233713,0.015057458
163.820224719,0.015355997,0.015473580
165.842696629,0.015610652,0.015812183
167.865168539,0.015529328,0.016054379
169.887640449,0.015483556,0.016186162
171.910112360,0.015784871,0.016199741
173.932584270,0.015935964,0.016094306
175.955056180,0.015916182,0.015876109
177.977528090,0.015831311,0.015557849
180.000000000,0.015931275,0.015157448
