Stamp_Parameters,rep,location,mean_angle,stdd,goodness_of_fit
,,,,,
25,1.0,R,53.618371937478166,19.553730438811726,0.9799971838862412
25,1.0,L,79.86589132507538,20.528764208125555,0.8971887312675486
25,1.0,center,65.91583370708717,17.513032125124735,0.9871204693476712
25,1.0,top,77.94974836279637,20.00040532468243,0.9611317299695944
25,1.0,bottom,65.05866120381133,18.89762370406173,0.9842768826077642
25,2.0,R,70.71265081668105,13.459444008344798,0.9902598454903716
25,2.0,L,61.48898141783008,11.810026757443692,0.9759758034211268
25,2.0,center,70.30460706501046,13.59162757824998,0.9772297269999596
25,2.0,top,67.3169083318552,9.915120452882942,0.9622078531982038
25,2.0,bottom,63.16288770656404,12.968040477775965,0.8980584389392714
25,3.0,R,63.88198214506512,15.544864283433686,0.9922377580391114
25,3.0,L,51.75404461396386,16.19851456625321,0.9786101091576076
25,3.0,center,76.91752616228842,13.407409239324965,0.9750667994700885
25,3.0,top,72.38169670317552,11.93178455329764,0.9676001052001104
25,3.0,bottom,84.58446705806377,9.188841604313588,0.9339360924315256
125,1.0,R,71.41547981013099,15.03415690946904,0.9515388000032656
125,1.0,L,53.0567091203967,14.824917605592344,0.9706405027525744
125,1.0,center,59.73447160940539,14.983829144472622,0.9830473510075204
125,1.0,top,58.80052659845901,20.9529007392238,0.9647219487730718
125,1.0,bottom,58.44490687491869,15.001480325178386,0.947049541615697
125,2.0,R,66.07850388273205,17.038900688001526,0.984671792286878
125,2.0,L,79.67071776571363,12.019666946038043,0.9681105673399932
125,2.0,center,69.96506225036306,10.485956410385208,0.9673323624867864
125,2.0,top,60.63000917836737,14.6280849453892,0.939391266886388
125,2.0,bottom,84.77567245741375,18.41666026562205,0.958019850805052
125,3.0,R,75.47246422938392,12.603724004767413,0.8222446593249413
125,3.0,L,66.1544156859682,12.766033988478824,0.874082418116518
125,3.0,center,77.50067442686088,13.9232692958837,0.9902354572525568
125,3.0,top,68.80256652739843,16.26827964994015,0.9452811952600736
125,3.0,bottom,77.3654407716994,14.321622309595318,0.9876389790053024
250,1.0,R,41.6087298473907,20.37605597203285,0.9468769763848648
250,1.0,L,53.08354720788638,21.669074141468805,0.9244536522320428
250,1.0,center,55.06249729543168,17.896808197442308,0.9615567887185396
250,1.0,top,27.79684118211576,20.020250895792948,0.9443051212202972
250,1.0,bottom,53.24081394151832,29.99191944741864,0.948958249135476
250,2.0,R,55.50062682673041,26.49779909513439,0.9110884043196636
250,2.0,L,69.8152062309686,12.87516709913264,0.9860828163299484
250,2.0,center,62.40562672475251,13.357453661901523,0.9580494504327272
250,2.0,top,57.331478072399214,22.50167977989565,0.9675020712190312
250,2.0,bottom,65.62184158524684,20.99346095584548,0.9689386060921024
250,3.0,R,63.80129922998933,14.90716077450401,0.9742425816937792
250,3.0,L,75.3384165471647,13.705479669922932,0.9759160183788675
250,3.0,center,73.8554180600779,18.833619702733174,0.9885969344676304
250,3.0,top,63.08199579990404,11.208902374273327,0.9579887795988166
250,3.0,bottom,80.00534941820568,29.40675126431637,0.9310103054512582
unstamped,1.0,R,28.609867456676103,12.312237662840708,0.9000277989902493
unstamped,1.0,L,140.45772349900872,15.637236335718365,0.9607798471320024
unstamped,1.0,center,83.17008634118957,32.32413586487381,0.5444648520230231
unstamped,1.0,top,28.830229657843752,15.73908155161374,0.8792549663063755
unstamped,1.0,bottom,34.5397747489843,14.580493188979595,0.9805065006065842
unstamped,2.0,R,8.808468664340717,15.809360461240455,0.6632964575129607
unstamped,2.0,L,121.88296674311944,30.34905279893895,0.7647374176023792
unstamped,2.0,center,81.97482310982592,10.951699931005352,0.2957108468365361
unstamped,2.0,top,68.09344476457517,9.372330796448727,0.9718328814492734
unstamped,2.0,bottom,79.82768877810511,13.238489938630138,0.9590393314683604
unstamped,3.0,R,24.325280838293786,13.908194377500088,0.8436955250515964
unstamped,3.0,L,119.76961325282204,17.45989626306367,0.9689599163718736
unstamped,3.0,center,97.16575934313504,20.933477547982864,0.9680930582784836
unstamped,3.0,top,76.41195730987143,20.704589418547663,0.986709348662094
unstamped,3.0,bottom,79.29550440950908,17.48861461714523,0.94474973967289
flat,1.0,R,141.09436125892088,15.101026518107734,0.9807002873419938
flat,1.0,L,151.0882406119947,14.987571334989005,0.9360867269376087
flat,1.0,center,13.351383456242504,14.83653117158332,0.651823634386637
flat,1.0,top,143.27478692052313,17.828278567195287,0.9117768743989348
flat,1.0,bottom,21.784663996116503,13.065013509338446,0.4094290743814121
flat,2.0,R,162.49473253973528,12.392881538117985,0.6841364674018435
flat,2.0,L,169.9488781677014,29.435881122267403,0.7657728584802254
flat,2.0,center,36.609208987811286,9.259499633654098,0.7360565582532781
flat,2.0,top,68.36015445119145,21.448648385915128,0.9809052223861244
flat,2.0,bottom,169.464323267127,15.43029050975577,0.4482792821848069
flat,3.0,R,4.517867278357577,13.637997628552826,0.6153692974720049
flat,3.0,L,151.81454697945082,19.50166403080969,0.9246143080065636
flat,3.0,center,10.57608235907407,6.384587376592876,0.1753162692843385
flat,3.0,top,6.587863814602694,17.275564653662205,0.5758742920409243
flat,3.0,bottom,12.911222256650031,14.77605671636279,0.5459654974695066
