Direction (°),frame_0210,frame_0210-fit
0.000000000,0.005012045,0.004836938
2.022471910,0.004845417,0.004883520
4.044943820,0.005295391,0.004943991
6.067415730,0.005168436,0.005021721
8.089887640,0.005345535,0.005120653
10.112359551,0.005940679,0.005245319
12.134831461,0.006247804,0.005400843
14.157303371,0.005367836,0.005592905
16.179775281,0.004983761,0.005827678
18.202247191,0.006132798,0.006111710
20.224719101,0.005763551,0.006451763
22.247191011,0.005733500,0.006854603
24.269662921,0.006004727,0.007326731
26.292134831,0.006997482,0.007874066
28.314606742,0.007097670,0.008501590
30.337078652,0.007847803,0.009212957
32.359550562,0.008184453,0.010010089
34.382022472,0.009804965,0.010892784
36.404494382,0.012715233,0.011858342
38.426966292,0.012463684,0.012901259
40.449438202,0.013125768,0.014013001
42.471910112,0.014975541,0.015181881
44.494382022,0.017700171,0.016393081
46.516853933,0.021009650,0.017628810
48.539325843,0.019912540,0.018868626
50.561797753,0.022080161,0.020089920
52.584269663,0.021036672,0.021268542
54.606741573,0.021712550,0.022379557
56.629213483,0.021544135,0.023398103
58.651685393,0.023455636,0.024300301
60.674157303,0.024433187,0.025064178
62.696629213,0.025262676,0.025670557
64.719101124,0.025352274,0.026103851
66.741573034,0.027493187,0.026352734
68.764044944,0.027674824,0.026410631
70.786516854,0.028328823,0.026276002
72.808988764,0.028927186,0.025952420
74.831460674,0.025921926,0.025448402
76.853932584,0.023841821,0.024777047
78.876404494,0.021962078,0.023955463
80.898876404,0.022231788,0.023004044
82.921348315,0.020112264,0.021945635
84.943820225,0.020471297,0.020804618
86.966292135,0.019329544,0.019605993
88.988764045,0.017014965,0.018374477
91.011235955,0.016451480,0.017133690
93.033707865,0.014959754,0.015905443
95.056179775,0.013191488,0.014709169
97.078651685,0.013336904,0.013561500
99.101123596,0.012920558,0.012476016
101.123595506,0.012247621,0.011463139
103.146067416,0.011680633,0.010530172
105.168539326,0.010402322,0.009681466
107.191011236,0.009821944,0.008918683
109.213483146,0.009451805,0.008241132
111.235955056,0.009207488,0.007646149
113.258426966,0.007953014,0.007129503
115.280898876,0.007627697,0.006685792
117.303370787,0.007840543,0.006308824
119.325842697,0.006930842,0.005991957
121.348314607,0.007024973,0.005728398
123.370786517,0.006221544,0.005511447
125.393258427,0.006360687,0.005334689
127.415730337,0.006454888,0.005192138
129.438202247,0.005901185,0.005078330
131.460674157,0.006000008,0.004988374
133.483146067,0.005294616,0.004917976
135.505617978,0.005136769,0.004863424
137.528089888,0.004847128,0.004821566
139.550561798,0.005144750,0.004789759
141.573033708,0.005269154,0.004765824
143.595505618,0.005605264,0.004747985
145.617977528,0.004728091,0.004734818
147.640449438,0.004720997,0.004725192
149.662921348,0.004404133,0.004718221
151.685393258,0.005257128,0.004713221
153.707865169,0.004374715,0.004709668
155.730337079,0.004125215,0.004707168
157.752808989,0.003921952,0.004705424
159.775280899,0.003728875,0.004704220
161.797752809,0.003841567,0.004703397
163.820224719,0.004025994,0.004702838
165.842696629,0.003856607,0.004702463
167.865168539,0.003860827,0.004702214
169.887640449,0.003706567,0.004702049
171.910112360,0.003680898,0.004701942
173.932584270,0.003885081,0.004701872
175.955056180,0.003847208,0.004701828
177.977528090,0.003873611,0.004701799
180.000000000,0.005012045,0.004701782
