Direction (°),frame_0210,frame_0210-fit
0.000000000,0.013465541,0.007059968
2.022471910,0.012049685,0.007059968
4.044943820,0.010768561,0.007059968
6.067415730,0.010654181,0.007059968
8.089887640,0.010505391,0.007059968
10.112359551,0.010141373,0.007059968
12.134831461,0.010279972,0.007059968
14.157303371,0.009186191,0.007059968
16.179775281,0.008760473,0.007059968
18.202247191,0.008243614,0.007059968
20.224719101,0.008035859,0.007059968
22.247191011,0.008461267,0.007059968
24.269662921,0.007995637,0.007059968
26.292134831,0.007491255,0.007059968
28.314606742,0.006812666,0.007059968
30.337078652,0.007241109,0.007059968
32.359550562,0.006630477,0.007059968
34.382022472,0.005893041,0.007059969
36.404494382,0.005885809,0.007059969
38.426966292,0.005838038,0.007059969
40.449438202,0.005691647,0.007059970
42.471910112,0.005894217,0.007059971
44.494382022,0.005732681,0.007059973
46.516853933,0.005457300,0.007059976
48.539325843,0.005491642,0.007059981
50.561797753,0.005545203,0.007059991
52.584269663,0.005570661,0.007060007
54.606741573,0.005679695,0.007060033
56.629213483,0.005572956,0.007060077
58.651685393,0.005704955,0.007060147
60.674157303,0.005920997,0.007060261
62.696629213,0.005339487,0.007060440
64.719101124,0.005300519,0.007060723
66.741573034,0.004976763,0.007061160
68.764044944,0.005104272,0.007061832
70.786516854,0.005582726,0.007062852
72.808988764,0.005470317,0.007064381
74.831460674,0.005514485,0.007066650
76.853932584,0.005482982,0.007069976
78.876404494,0.005825994,0.007074798
80.898876404,0.005611314,0.007081707
82.921348315,0.005922372,0.007091496
84.943820225,0.005948324,0.007105203
86.966292135,0.005994508,0.007124175
88.988764045,0.006144065,0.007150128
91.011235955,0.006681366,0.007185218
93.033707865,0.006238401,0.007232104
95.056179775,0.006412358,0.007294011
97.078651685,0.007503203,0.007374777
99.101123596,0.007990486,0.007478885
101.123595506,0.008043845,0.007611458
103.146067416,0.008628778,0.007778220
105.168539326,0.009005389,0.007985400
107.191011236,0.008620089,0.008239585
109.213483146,0.009853792,0.008547502
111.235955056,0.010267417,0.008915726
113.258426966,0.009923046,0.009350335
115.280898876,0.010453677,0.009856485
117.303370787,0.010326980,0.010437963
119.325842697,0.013278088,0.011096696
121.348314607,0.013050312,0.011832281
123.370786517,0.011913313,0.012641550
125.393258427,0.012372132,0.013518215
127.415730337,0.012629628,0.014452632
129.438202247,0.013922755,0.015431717
131.460674157,0.016213089,0.016439052
133.483146067,0.016703141,0.017455186
135.505617978,0.018747551,0.018458154
137.528089888,0.019587931,0.019424191
139.550561798,0.020765683,0.020328623
141.573033708,0.022119707,0.021146883
143.595505618,0.020357837,0.021855612
145.617977528,0.020699802,0.022433753
147.640449438,0.023665271,0.022863593
149.662921348,0.024490863,0.023131658
151.685393258,0.024771374,0.023229422
153.707865169,0.023081247,0.023153751
155.730337079,0.023771733,0.022907071
157.752808989,0.023134258,0.022497240
159.775280899,0.019971173,0.021937134
161.797752809,0.021240801,0.021243971
163.820224719,0.021277546,0.020438436
165.842696629,0.019181893,0.019543656
167.865168539,0.017835877,0.018584104
169.887640449,0.017768587,0.017584501
171.910112360,0.016426008,0.016568779
173.932584270,0.015290297,0.015559179
175.955056180,0.014393777,0.014575503
177.977528090,0.013103735,0.013634581
180.000000000,0.013465541,0.012749931
