Direction (°),frame_0210,frame_0210-fit
0.000000000,0.036420301,0.036866396
2.022471910,0.037518636,0.038017817
4.044943820,0.039806832,0.038518607
6.067415730,0.038919910,0.038336212
8.089887640,0.037365547,0.037482527
10.112359551,0.036060571,0.036012619
12.134831461,0.034172832,0.034018841
14.157303371,0.029577582,0.031621240
16.179775281,0.027846892,0.028955622
18.202247191,0.026992154,0.026160928
20.224719101,0.024780548,0.023367539
22.247191011,0.020858675,0.020687817
24.269662921,0.017499287,0.018209764
26.292134831,0.016143217,0.015994072
28.314606742,0.014493132,0.014074373
30.337078652,0.013920682,0.012460060
32.359550562,0.011461516,0.011140856
34.382022472,0.009957510,0.010092214
36.404494382,0.009656199,0.009280751
38.426966292,0.008229693,0.008669094
40.449438202,0.007394340,0.008219759
42.471910112,0.006354847,0.007897922
44.494382022,0.006451262,0.007673085
46.516853933,0.005917072,0.007519839
48.539325843,0.005493756,0.007417904
50.561797753,0.005084294,0.007351720
52.584269663,0.004769646,0.007309765
54.606741573,0.004345846,0.007283796
56.629213483,0.004491767,0.007268096
58.651685393,0.004703100,0.007258826
60.674157303,0.004035334,0.007253479
62.696629213,0.004208017,0.007250466
64.719101124,0.004056571,0.007248807
66.741573034,0.004203589,0.007247914
68.764044944,0.004137703,0.007247445
70.786516854,0.004118468,0.007247204
72.808988764,0.004152358,0.007247083
74.831460674,0.004430634,0.007247023
76.853932584,0.003918473,0.007246995
78.876404494,0.003524863,0.007246982
80.898876404,0.003809496,0.007246975
82.921348315,0.003711472,0.007246973
84.943820225,0.003312836,0.007246972
86.966292135,0.003093867,0.007246971
88.988764045,0.002883361,0.007246971
91.011235955,0.002966666,0.007246971
93.033707865,0.002966507,0.007246971
95.056179775,0.002765569,0.007246971
97.078651685,0.002829872,0.007246971
99.101123596,0.002742422,0.007246971
101.123595506,0.002904234,0.007246971
103.146067416,0.002327000,0.007246971
105.168539326,0.002262722,0.007246971
107.191011236,0.002417648,0.007246971
109.213483146,0.002394471,0.007246971
111.235955056,0.002408289,0.007246971
113.258426966,0.002448299,0.007246971
115.280898876,0.002388590,0.007246971
117.303370787,0.002647551,0.007246971
119.325842697,0.002705537,0.007246971
121.348314607,0.002794505,0.007246971
123.370786517,0.002953679,0.007246971
125.393258427,0.003044840,0.007246971
127.415730337,0.002910028,0.007246971
129.438202247,0.003240405,0.007246971
131.460674157,0.003759246,0.007246971
133.483146067,0.003618000,0.007246971
135.505617978,0.003860549,0.007246971
137.528089888,0.004059926,0.007246971
139.550561798,0.004113519,0.007246971
141.573033708,0.004366481,0.007246971
143.595505618,0.005012480,0.007246971
145.617977528,0.005217930,0.007246971
147.640449438,0.005780944,0.007246971
149.662921348,0.007444500,0.007246971
151.685393258,0.007482779,0.007246971
153.707865169,0.007554825,0.007246971
155.730337079,0.008812974,0.007246971
157.752808989,0.010046165,0.007246971
159.775280899,0.011926163,0.007246971
161.797752809,0.013850676,0.007246971
163.820224719,0.016042472,0.007246971
165.842696629,0.017761259,0.007246971
167.865168539,0.020512567,0.007246971
169.887640449,0.023214440,0.007246971
171.910112360,0.026121732,0.007246971
173.932584270,0.029646945,0.007246971
175.955056180,0.031709526,0.007246971
177.977528090,0.033260077,0.007246971
180.000000000,0.036420301,0.007246971
