Direction (°),frame_0210,frame_0210-fit
0.000000000,0.003858999,0.003876676
2.022471910,0.003867687,0.003876677
4.044943820,0.003832901,0.003876678
6.067415730,0.004401732,0.003876683
8.089887640,0.003982227,0.003876692
10.112359551,0.003999683,0.003876713
12.134831461,0.004392234,0.003876759
14.157303371,0.004116788,0.003876855
16.179775281,0.004172699,0.003877055
18.202247191,0.003992115,0.003877457
20.224719101,0.004145518,0.003878249
22.247191011,0.004380158,0.003879770
24.269662921,0.004418125,0.003882620
26.292134831,0.004635213,0.003887831
28.314606742,0.004377973,0.003897128
30.337078652,0.004902002,0.003913306
32.359550562,0.005467000,0.003940768
34.382022472,0.005068928,0.003986233
36.404494382,0.005667641,0.004059627
38.426966292,0.005577198,0.004175141
40.449438202,0.006614344,0.004352357
42.471910112,0.007350844,0.004617308
44.494382022,0.007974637,0.005003232
46.516853933,0.009831195,0.005550720
48.539325843,0.010349359,0.006306893
50.561797753,0.010891402,0.007323245
52.584269663,0.012725780,0.008651889
54.606741573,0.012780452,0.010340096
56.629213483,0.016096774,0.012423325
58.651685393,0.017008228,0.014917290
60.674157303,0.021524872,0.017809991
62.696629213,0.024315020,0.021054952
64.719101124,0.025153025,0.024567060
66.741573034,0.025873001,0.028222327
68.764044944,0.026455164,0.031862500
70.786516854,0.029267869,0.035304816
72.808988764,0.032095143,0.038356349
74.831460674,0.036752562,0.040831528
76.853932584,0.038465465,0.042570679
78.876404494,0.045505471,0.043457034
80.898876404,0.048326607,0.043429697
82.921348315,0.051358781,0.042490558
84.943820225,0.049127548,0.040704083
86.966292135,0.039659485,0.038189992
88.988764045,0.030604752,0.035109993
91.011235955,0.029031296,0.031650610
93.033707865,0.030184619,0.028004633
95.056179775,0.026162343,0.024353735
97.078651685,0.018774666,0.020854361
99.101123596,0.013209972,0.017628276
101.123595506,0.012181975,0.014758254
103.146067416,0.009038214,0.012288581
105.168539326,0.008114017,0.010229411
107.191011236,0.007363590,0.008563633
109.213483146,0.006531402,0.007254874
111.235955056,0.005545743,0.006255395
113.258426966,0.005283052,0.005512983
115.280898876,0.004342850,0.004976316
117.303370787,0.003982008,0.004598614
119.325842697,0.004052893,0.004339710
121.348314607,0.003964236,0.004166804
123.370786517,0.003500522,0.004054271
125.393258427,0.003432250,0.003982879
127.415730337,0.003291436,0.003938720
129.438202247,0.003106839,0.003912087
131.460674157,0.003284011,0.003896419
133.483146067,0.002960479,0.003887430
135.505617978,0.002929535,0.003882398
137.528089888,0.002984885,0.003879651
139.550561798,0.002887237,0.003878186
141.573033708,0.002915308,0.003877425
143.595505618,0.003038458,0.003877039
145.617977528,0.002925482,0.003876848
147.640449438,0.002625936,0.003876755
149.662921348,0.002632248,0.003876711
151.685393258,0.002565113,0.003876691
153.707865169,0.002356893,0.003876682
155.730337079,0.002673855,0.003876678
157.752808989,0.002724962,0.003876677
159.775280899,0.002751882,0.003876676
161.797752809,0.002998810,0.003876676
163.820224719,0.002734203,0.003876676
165.842696629,0.002621212,0.003876675
167.865168539,0.003060148,0.003876675
169.887640449,0.003026987,0.003876675
171.910112360,0.003049943,0.003876675
173.932584270,0.003306460,0.003876675
175.955056180,0.003278485,0.003876675
177.977528090,0.003349943,0.003876675
180.000000000,0.003858999,0.003876675
