Direction (°),C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Circumfrential,C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Circumfrential-fit
0.000000000,0.019583568,0.018248400
1.011235955,0.018776372,0.018587649
2.022471910,0.019605130,0.018885565
3.033707865,0.017397390,0.019138218
4.044943820,0.017565876,0.019342219
5.056179775,0.017905424,0.019494792
6.067415730,0.021097398,0.019593839
7.078651685,0.020797533,0.019637989
8.089887640,0.020354534,0.019626630
9.101123596,0.020529118,0.019559918
10.112359551,0.018879175,0.019438780
11.123595506,0.018166925,0.019264888
12.134831461,0.019573313,0.019040625
13.146067416,0.019508057,0.018769024
14.157303371,0.017720164,0.018453707
15.168539326,0.016745539,0.018098800
16.179775281,0.017265466,0.017708845
17.191011236,0.017961446,0.017288703
18.202247191,0.017414150,0.016843454
19.213483146,0.015496526,0.016378296
20.224719101,0.017479332,0.015898445
21.235955056,0.014938206,0.015409038
22.247191011,0.014311430,0.014915051
23.258426966,0.014977725,0.014421211
24.269662921,0.013921184,0.013931933
25.280898876,0.012966857,0.013451259
26.292134831,0.012510475,0.012982817
27.303370787,0.014255916,0.012529781
28.314606742,0.012466900,0.012094860
29.325842697,0.011666398,0.011680282
30.337078652,0.011758526,0.011287804
31.348314607,0.010587689,0.010918720
32.359550562,0.010529912,0.010573885
33.370786517,0.010362741,0.010253749
34.382022472,0.010026923,0.009958386
35.393258427,0.009413063,0.009687537
36.404494382,0.008640359,0.009440652
37.415730337,0.008867454,0.009216938
38.426966292,0.008332805,0.009015395
39.438202247,0.008794103,0.008834866
40.449438202,0.008906668,0.008674075
41.460674157,0.008718340,0.008531665
42.471910112,0.008294911,0.008406234
43.483146067,0.008233686,0.008296364
44.494382022,0.008080648,0.008200648
45.505617978,0.007660539,0.008117711
46.516853933,0.007667679,0.008046234
47.528089888,0.007573463,0.007984959
48.539325843,0.007980885,0.007932709
49.550561798,0.008680341,0.007888388
50.561797753,0.008383039,0.007850989
51.573033708,0.008122839,0.007819596
52.584269663,0.007520651,0.007793379
53.595505618,0.007295758,0.007771598
54.606741573,0.007473827,0.007753596
55.617977528,0.007418232,0.007738792
56.629213483,0.007476250,0.007726680
57.640449438,0.007621950,0.007716821
58.651685393,0.007372549,0.007708837
59.662921348,0.007613657,0.007702402
60.674157303,0.007883228,0.007697244
61.685393258,0.007486228,0.007693128
62.696629213,0.007284434,0.007689861
63.707865169,0.007188858,0.007687281
64.719101124,0.006979090,0.007685253
65.730337079,0.007315177,0.007683668
66.741573034,0.007027434,0.007682434
67.752808989,0.007676449,0.007681478
68.764044944,0.007209448,0.007680742
69.775280899,0.007104815,0.007680177
70.786516854,0.006956823,0.007679747
71.797752809,0.007793175,0.007679420
72.808988764,0.007700223,0.007679172
73.820224719,0.007793922,0.007678987
74.831460674,0.007824377,0.007678848
75.842696629,0.007778128,0.007678744
76.853932584,0.007956045,0.007678668
77.865168539,0.007905504,0.007678611
78.876404494,0.007545356,0.007678570
79.887640449,0.008227222,0.007678539
80.898876404,0.008034655,0.007678517
81.910112360,0.007806451,0.007678501
82.921348315,0.008358279,0.007678490
83.932584270,0.008321453,0.007678482
84.943820225,0.007777832,0.007678476
85.955056180,0.008313759,0.007678472
86.966292135,0.008137948,0.007678469
87.977528090,0.008386228,0.007678467
88.988764045,0.008276769,0.007678465
90.000000000,0.008703676,0.007678464
