Direction (°),C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Interface,C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Interface-fit
0.000000000,0.004183277,0.003052214
1.011235955,0.004162137,0.003226949
2.022471910,0.004439104,0.003404939
3.033707865,0.004238890,0.003586131
4.044943820,0.004253322,0.003770464
5.056179775,0.004376358,0.003957871
6.067415730,0.004245413,0.004148282
7.078651685,0.004531751,0.004341616
8.089887640,0.004750218,0.004537789
9.101123596,0.005202946,0.004736710
10.112359551,0.005102964,0.004938279
11.123595506,0.004621163,0.005142395
12.134831461,0.004734629,0.005348945
13.146067416,0.005169836,0.005557812
14.157303371,0.005032493,0.005768874
15.168539326,0.005091906,0.005982001
16.179775281,0.005214594,0.006197056
17.191011236,0.005704888,0.006413898
18.202247191,0.005946186,0.006632379
19.213483146,0.006041418,0.006852343
20.224719101,0.006219606,0.007073633
21.235955056,0.006444755,0.007296081
22.247191011,0.005874320,0.007519516
23.258426966,0.007085025,0.007743762
24.269662921,0.007317247,0.007968638
25.280898876,0.007794637,0.008193956
26.292134831,0.007673560,0.008419524
27.303370787,0.008050156,0.008645148
28.314606742,0.008160962,0.008870627
29.325842697,0.008270377,0.009095756
30.337078652,0.008786853,0.009320327
31.348314607,0.008935819,0.009544129
32.359550562,0.009631895,0.009766948
33.370786517,0.010608636,0.009988567
34.382022472,0.010122806,0.010208765
35.393258427,0.010717857,0.010427320
36.404494382,0.010373275,0.010644010
37.415730337,0.011326104,0.010858610
38.426966292,0.011368277,0.011070892
39.438202247,0.011738703,0.011280632
40.449438202,0.012817612,0.011487601
41.460674157,0.011858496,0.011691574
42.471910112,0.011458089,0.011892325
43.483146067,0.012691861,0.012089627
44.494382022,0.013830710,0.012283259
45.505617978,0.013528455,0.012472998
46.516853933,0.015148971,0.012658624
47.528089888,0.016998230,0.012839920
48.539325843,0.014696863,0.013016674
49.550561798,0.014077564,0.013188674
50.561797753,0.015286144,0.013355715
51.573033708,0.015708890,0.013517594
52.584269663,0.012565795,0.013674114
53.595505618,0.013717289,0.013825083
54.606741573,0.013532971,0.013970314
55.617977528,0.014610716,0.014109626
56.629213483,0.014653268,0.014242846
57.640449438,0.013816473,0.014369805
58.651685393,0.014090746,0.014490343
59.662921348,0.014518719,0.014604306
60.674157303,0.015752181,0.014711548
61.685393258,0.015037817,0.014811932
62.696629213,0.014853545,0.014905328
63.707865169,0.014220344,0.014991615
64.719101124,0.014124371,0.015070681
65.730337079,0.016193332,0.015142423
66.741573034,0.014622168,0.015206747
67.752808989,0.015111851,0.015263568
68.764044944,0.013909681,0.015312812
69.775280899,0.014803532,0.015354415
70.786516854,0.014940895,0.015388320
71.797752809,0.013779298,0.015414484
72.808988764,0.012662382,0.015432872
73.820224719,0.013005001,0.015443459
74.831460674,0.013426175,0.015446231
75.842696629,0.013596498,0.015441185
76.853932584,0.014567137,0.015428328
77.865168539,0.015387689,0.015407676
78.876404494,0.014278724,0.015379257
79.887640449,0.014757878,0.015343108
80.898876404,0.014851264,0.015299277
81.910112360,0.014671650,0.015247822
82.921348315,0.015352729,0.015188811
83.932584270,0.015976489,0.015122321
84.943820225,0.015240272,0.015048439
85.955056180,0.016427755,0.014967262
86.966292135,0.017154174,0.014878896
87.977528090,0.014096925,0.014783455
88.988764045,0.015885469,0.014681063
90.000000000,0.018160550,0.014571852
