Direction (°),C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Iris_Flor_circumfrential_top,C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Iris_Flor_circumfrential_top-fit
0.000000000,0.025003523,0.022967706
1.011235955,0.020781106,0.023054317
2.022471910,0.022179825,0.023092454
3.033707865,0.022982442,0.023081785
4.044943820,0.022063755,0.023022402
5.056179775,0.022135833,0.022914821
6.067415730,0.021998071,0.022759970
7.078651685,0.021764332,0.022559180
8.089887640,0.021730060,0.022314163
9.101123596,0.024004076,0.022026990
10.112359551,0.023342715,0.021700059
11.123595506,0.022442880,0.021336065
12.134831461,0.022520173,0.020937961
13.146067416,0.022089032,0.020508918
14.157303371,0.021653808,0.020052284
15.168539326,0.020568281,0.019571542
16.179775281,0.019770488,0.019070262
17.191011236,0.018174361,0.018552061
18.202247191,0.017533154,0.018020559
19.213483146,0.016479422,0.017479338
20.224719101,0.017039785,0.016931903
21.235955056,0.015986751,0.016381647
22.247191011,0.014531365,0.015831817
23.258426966,0.014130754,0.015285482
24.269662921,0.013525446,0.014745516
25.280898876,0.012812223,0.014214570
26.292134831,0.012536207,0.013695056
27.303370787,0.011970860,0.013189140
28.314606742,0.012568680,0.012698726
29.325842697,0.012331944,0.012225461
30.337078652,0.011155033,0.011770728
31.348314607,0.010435078,0.011335653
32.359550562,0.010718693,0.010921111
33.370786517,0.009718075,0.010527736
34.382022472,0.010124561,0.010155935
35.393258427,0.010480892,0.009805900
36.404494382,0.010057717,0.009477627
37.415730337,0.010244448,0.009170931
38.426966292,0.009536759,0.008885466
39.438202247,0.008793839,0.008620745
40.449438202,0.008476156,0.008376157
41.460674157,0.008528467,0.008150987
42.471910112,0.009059162,0.007944434
43.483146067,0.008662026,0.007755630
44.494382022,0.008801292,0.007583654
45.505617978,0.008540749,0.007427553
46.516853933,0.007317244,0.007286349
47.528089888,0.007582441,0.007159059
48.539325843,0.007813312,0.007044701
49.550561798,0.007957407,0.006942310
50.561797753,0.007412018,0.006850940
51.573033708,0.007249482,0.006769679
52.584269663,0.007208025,0.006697646
53.595505618,0.007195523,0.006634006
54.606741573,0.007179809,0.006577965
55.617977528,0.007023648,0.006528778
56.629213483,0.006984127,0.006485746
57.640449438,0.006593928,0.006448222
58.651685393,0.006778789,0.006415606
59.662921348,0.007423250,0.006387348
60.674157303,0.006529057,0.006362943
61.685393258,0.006816501,0.006341935
62.696629213,0.006558758,0.006323907
63.707865169,0.006715265,0.006308486
64.719101124,0.007223912,0.006295337
65.730337079,0.006760334,0.006284161
66.741573034,0.006101775,0.006274691
67.752808989,0.006234025,0.006266692
68.764044944,0.006205311,0.006259957
69.775280899,0.006517679,0.006254304
70.786516854,0.005904199,0.006249573
71.797752809,0.006051242,0.006245628
72.808988764,0.005932169,0.006242346
73.820224719,0.006037304,0.006239626
74.831460674,0.005982034,0.006237379
75.842696629,0.005592908,0.006235527
76.853932584,0.005626875,0.006234006
77.865168539,0.005406646,0.006232760
78.876404494,0.005580038,0.006231744
79.887640449,0.005462231,0.006230916
80.898876404,0.005822552,0.006230245
81.910112360,0.005605877,0.006229702
82.921348315,0.005064634,0.006229265
83.932584270,0.005304160,0.006228913
84.943820225,0.005633342,0.006228631
85.955056180,0.005363269,0.006228406
86.966292135,0.005739598,0.006228226
87.977528090,0.005206295,0.006228084
88.988764045,0.005106357,0.006227971
90.000000000,0.006212349,0.006227882
