Direction (°),C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Radial,C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Radial-fit
0.000000000,0.035154881,0.033428429
1.011235955,0.030178656,0.032105782
2.022471910,0.030543670,0.030771938
3.033707865,0.031201194,0.029436232
4.044943820,0.027327966,0.028107495
5.056179775,0.024627837,0.026793974
6.067415730,0.023948220,0.025503253
7.078651685,0.024604219,0.024242199
8.089887640,0.024171660,0.023016922
9.101123596,0.023910499,0.021832748
10.112359551,0.022475936,0.020694205
11.123595506,0.019544470,0.019605029
12.134831461,0.017668858,0.018568175
13.146067416,0.016487941,0.017585847
14.157303371,0.016470630,0.016659530
15.168539326,0.016862774,0.015790035
16.179775281,0.015035397,0.014977556
17.191011236,0.015179388,0.014221717
18.202247191,0.012610703,0.013521638
19.213483146,0.012178654,0.012875997
20.224719101,0.011873151,0.012283090
21.235955056,0.010897355,0.011740897
22.247191011,0.010769001,0.011247137
23.258426966,0.010905169,0.010799332
24.269662921,0.010153602,0.010394857
25.280898876,0.010515466,0.010030993
26.292134831,0.010101524,0.009704973
27.303370787,0.008864178,0.009414018
28.314606742,0.008710858,0.009155382
29.325842697,0.009790952,0.008926373
30.337078652,0.009514875,0.008724387
31.348314607,0.007853228,0.008546922
32.359550562,0.007740993,0.008391602
33.370786517,0.008346465,0.008256182
34.382022472,0.008615920,0.008138563
35.393258427,0.008199737,0.008036790
36.404494382,0.008465108,0.007949061
37.415730337,0.008828322,0.007873721
38.426966292,0.008169921,0.007809263
39.438202247,0.008205980,0.007754320
40.449438202,0.007332443,0.007707662
41.460674157,0.007869114,0.007668185
42.471910112,0.008567142,0.007634908
43.483146067,0.008099375,0.007606960
44.494382022,0.007550491,0.007583573
45.505617978,0.007288858,0.007564075
46.516853933,0.007264011,0.007547878
47.528089888,0.006801301,0.007534472
48.539325843,0.006175447,0.007523416
49.550561798,0.007295736,0.007514332
50.561797753,0.007415562,0.007506894
51.573033708,0.006822251,0.007500827
52.584269663,0.007355115,0.007495895
53.595505618,0.007063855,0.007491901
54.606741573,0.007159190,0.007488677
55.617977528,0.007304719,0.007486085
56.629213483,0.006914903,0.007484008
57.640449438,0.007793466,0.007482350
58.651685393,0.007125821,0.007481030
59.662921348,0.006750505,0.007479984
60.674157303,0.006314122,0.007479158
61.685393258,0.006851753,0.007478508
62.696629213,0.006860564,0.007477998
63.707865169,0.007085218,0.007477599
64.719101124,0.006835467,0.007477288
65.730337079,0.006704810,0.007477047
66.741573034,0.006929024,0.007476861
67.752808989,0.007535154,0.007476717
68.764044944,0.007781635,0.007476607
69.775280899,0.007167097,0.007476523
70.786516854,0.007280897,0.007476458
71.797752809,0.007098923,0.007476409
72.808988764,0.007083136,0.007476372
73.820224719,0.006719596,0.007476344
74.831460674,0.007178496,0.007476323
75.842696629,0.007316324,0.007476308
76.853932584,0.007252125,0.007476296
77.865168539,0.007384933,0.007476287
78.876404494,0.008547620,0.007476281
79.887640449,0.008213109,0.007476276
80.898876404,0.008136753,0.007476272
81.910112360,0.007792996,0.007476270
82.921348315,0.008305121,0.007476268
83.932584270,0.008175914,0.007476266
84.943820225,0.008305811,0.007476265
85.955056180,0.007762738,0.007476265
86.966292135,0.008055226,0.007476264
87.977528090,0.008602198,0.007476264
88.988764045,0.008650713,0.007476264
90.000000000,0.009417866,0.007476263
