Direction (°),C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Iris_Flor_radial,C:/Users/laSch/Desktop/RamanLab/RamanlabCode/AlignmentCode2024/IrisAlignmentStudy/Iris_Flor_radial-fit
-90.000000000,0.006121730,0.006889098
-87.977528090,0.005759009,0.006889099
-85.955056180,0.005639957,0.006889102
-83.932584270,0.005810304,0.006889106
-81.910112360,0.005841407,0.006889114
-79.887640449,0.005899617,0.006889128
-77.865168539,0.005991940,0.006889156
-75.842696629,0.005946821,0.006889206
-73.820224719,0.006136687,0.006889297
-71.797752809,0.005995977,0.006889457
-69.775280899,0.006373677,0.006889735
-67.752808989,0.006313005,0.006890212
-65.730337079,0.006437117,0.006891015
-63.707865169,0.006497749,0.006892345
-61.685393258,0.006630733,0.006894514
-59.662921348,0.006811533,0.006897993
-57.640449438,0.007039645,0.006903479
-55.617977528,0.006771705,0.006911989
-53.595505618,0.007478461,0.006924974
-51.573033708,0.008226725,0.006944456
-49.550561798,0.008480827,0.006973199
-47.528089888,0.008307794,0.007014894
-45.505617978,0.008385744,0.007074356
-43.483146067,0.008550414,0.007157715
-41.460674157,0.008494764,0.007272571
-39.438202247,0.008973663,0.007428089
-37.415730337,0.009640928,0.007634986
-35.393258427,0.010080976,0.007905373
-33.370786517,0.010238032,0.008252408
-31.348314607,0.010347032,0.008689723
-29.325842697,0.010816240,0.009230615
-27.303370787,0.011056583,0.009886996
-25.280898876,0.011971691,0.010668142
-23.258426966,0.012373233,0.011579310
-21.235955056,0.013241812,0.012620336
-19.213483146,0.014177396,0.013784346
-17.191011236,0.014454315,0.015056743
-15.168539326,0.015178071,0.016414630
-13.146067416,0.016526612,0.017826827
-11.123595506,0.018089746,0.019254565
-9.101123596,0.018699890,0.020652930
-7.078651685,0.020476146,0.021973000
-5.056179775,0.021374377,0.023164567
-3.033707865,0.023792783,0.024179249
-1.011235955,0.025677819,0.024973725
1.011235955,0.025930342,0.025512791
3.033707865,0.027000835,0.025771947
5.056179775,0.026583809,0.025739243
7.078651685,0.027124669,0.025416195
9.101123596,0.026132118,0.024817663
11.123595506,0.026292313,0.023970722
13.146067416,0.023691299,0.022912630
15.168539326,0.021178954,0.021688114
17.191011236,0.019595463,0.020346242
19.213483146,0.017875566,0.018937195
21.235955056,0.016477652,0.017509219
23.258426966,0.014743096,0.016106021
25.280898876,0.013400363,0.014764776
27.303370787,0.012354468,0.013514853
29.325842697,0.011774864,0.012377277
31.348314607,0.011335682,0.011364857
33.370786517,0.010661457,0.010482870
35.393258427,0.009918138,0.009730155
37.415730337,0.009477823,0.009100434
39.438202247,0.009032661,0.008583728
41.460674157,0.008876900,0.008167716
43.483146067,0.008425563,0.007838941
45.505617978,0.008522304,0.007583816
47.528089888,0.008055797,0.007389375
49.550561798,0.007566588,0.007243796
51.573033708,0.007606582,0.007136698
53.595505618,0.007322093,0.007059270
55.617977528,0.007697553,0.007004250
57.640449438,0.007390481,0.006965817
59.662921348,0.007010696,0.006939422
61.685393258,0.006906078,0.006921599
63.707865169,0.006973070,0.006909764
65.730337079,0.006724488,0.006902036
67.752808989,0.006581804,0.006897072
69.775280899,0.006266142,0.006893937
71.797752809,0.006288333,0.006891989
73.820224719,0.006308146,0.006890799
75.842696629,0.006222055,0.006890083
77.865168539,0.006062433,0.006889659
79.887640449,0.006006925,0.006889413
81.910112360,0.005888717,0.006889272
83.932584270,0.005968765,0.006889192
85.955056180,0.005989197,0.006889148
87.977528090,0.005505300,0.006889124
90.000000000,0.006121730,0.006889111
