 ,Area,Mean,Min,Max
1,275,255,255,255
2,147,255,255,255
3,106,255,255,255
4,192,255,255,255
5,245,255,255,255
6,206,255,255,255
7,270,255,255,255
8,237,255,255,255
9,187,255,255,255
10,248,255,255,255
11,208,255,255,255
12,334,255,255,255
13,330,255,255,255
14,220,255,255,255
15,348,255,255,255
16,280,255,255,255
17,274,255,255,255
18,141,255,255,255
19,182,255,255,255
20,247,255,255,255
21,227,255,255,255
22,429,255,255,255
23,359,255,255,255
24,208,255,255,255
25,207,255,255,255
26,172,255,255,255
27,212,255,255,255
28,176,255,255,255
29,248,255,255,255
30,175,255,255,255
31,274,255,255,255
32,374,255,255,255
33,329,255,255,255
34,105,255,255,255
35,157,255,255,255
36,230,255,255,255
37,141,255,255,255
38,196,255,255,255
39,462,255,255,255
40,224,255,255,255
41,221,255,255,255
42,407,255,255,255
43,263,255,255,255
44,204,255,255,255
45,190,255,255,255
46,206,255,255,255
47,212,255,255,255
48,199,255,255,255
49,461,255,255,255
50,188,255,255,255
51,260,255,255,255
52,319,255,255,255
53,148,255,255,255
54,205,255,255,255
55,336,255,255,255
56,322,255,255,255
57,394,255,255,255
58,349,255,255,255
59,230,255,255,255
60,309,255,255,255
61,219,255,255,255
62,251,255,255,255
63,295,255,255,255
64,220,255,255,255
65,334,255,255,255
66,228,255,255,255
67,220,255,255,255
68,230,255,255,255
69,248,255,255,255
70,251,255,255,255
71,156,255,255,255
72,372,255,255,255
73,358,255,255,255
74,263,255,255,255
75,294,255,255,255
76,254,255,255,255
77,260,255,255,255
78,196,255,255,255
79,263,255,255,255
80,151,255,255,255
81,314,255,255,255
82,225,255,255,255
83,355,255,255,255
84,128,255,255,255
85,116,255,255,255
86,225,255,255,255
87,284,255,255,255
88,312,255,255,255
89,223,255,255,255
90,253,255,255,255
91,352,255,255,255
92,385,255,255,255
93,221,255,255,255
94,165,255,255,255
95,135,255,255,255
96,499,255,255,255
97,282,255,255,255
98,360,255,255,255
99,264,255,255,255
100,198,255,255,255
101,294,255,255,255
102,199,255,255,255
103,272,255,255,255
104,144,255,255,255
105,149,255,255,255
106,191,255,255,255
107,325,255,255,255
108,159,255,255,255
109,183,255,255,255
110,106,255,255,255
111,121,255,255,255
112,109,255,255,255
