 ,Area,Mean,Min,Max
1,264,255,255,255
2,174,255,255,255
3,265,255,255,255
4,458,255,255,255
5,333,255,255,255
6,182,255,255,255
7,289,255,255,255
8,304,255,255,255
9,101,255,255,255
10,208,255,255,255
11,289,255,255,255
12,274,255,255,255
13,218,255,255,255
14,119,255,255,255
15,241,255,255,255
16,215,255,255,255
17,184,255,255,255
18,433,255,255,255
19,347,255,255,255
20,394,255,255,255
21,185,255,255,255
22,339,255,255,255
23,398,255,255,255
24,239,255,255,255
25,156,255,255,255
26,198,255,255,255
27,225,255,255,255
28,104,255,255,255
29,210,255,255,255
30,227,255,255,255
31,249,255,255,255
32,173,255,255,255
33,153,255,255,255
34,195,255,255,255
35,163,255,255,255
36,463,255,255,255
37,113,255,255,255
38,464,255,255,255
39,185,255,255,255
40,535,255,255,255
41,145,255,255,255
42,133,255,255,255
43,403,255,255,255
44,174,255,255,255
45,298,255,255,255
46,236,255,255,255
47,124,255,255,255
48,217,255,255,255
49,232,255,255,255
50,330,255,255,255
51,169,255,255,255
52,243,255,255,255
53,250,255,255,255
54,270,255,255,255
55,481,255,255,255
56,233,255,255,255
57,271,255,255,255
58,196,255,255,255
59,227,255,255,255
60,304,255,255,255
61,150,255,255,255
62,220,255,255,255
63,321,255,255,255
64,197,255,255,255
65,274,255,255,255
66,452,255,255,255
67,362,255,255,255
68,417,255,255,255
69,189,255,255,255
70,212,255,255,255
71,407,255,255,255
72,198,255,255,255
73,289,255,255,255
74,541,255,255,255
75,582,255,255,255
76,177,255,255,255
77,200,255,255,255
78,267,255,255,255
79,102,255,255,255
80,150,255,255,255
81,112,255,255,255
82,156,255,255,255
83,165,255,255,255
84,162,255,255,255
85,410,255,255,255
86,151,255,255,255
87,288,255,255,255
88,257,255,255,255
89,403,255,255,255
90,235,255,255,255
91,233,255,255,255
92,215,255,255,255
93,402,255,255,255
94,421,255,255,255
95,919,255,255,255
96,240,255,255,255
97,183,255,255,255
98,260,255,255,255
99,249,255,255,255
100,236,255,255,255
101,325,255,255,255
102,301,255,255,255
103,314,255,255,255
104,328,255,255,255
105,214,255,255,255
106,180,255,255,255
107,294,254.133,0,255
108,199,255,255,255
109,226,255,255,255
110,371,255,255,255
111,291,255,255,255
112,204,255,255,255
113,259,255,255,255
114,487,255,255,255
115,315,255,255,255
116,233,255,255,255
117,169,255,255,255
118,154,255,255,255
119,286,255,255,255
120,251,255,255,255
121,360,255,255,255
122,234,255,255,255
123,219,255,255,255
124,126,255,255,255
125,251,255,255,255
126,168,255,255,255
127,183,255,255,255
128,253,255,255,255
129,194,255,255,255
130,597,255,255,255
131,192,255,255,255
132,110,255,255,255
133,322,255,255,255
134,252,255,255,255
135,161,255,255,255
136,150,255,255,255
137,246,255,255,255
138,324,255,255,255
139,530,255,255,255
140,284,255,255,255
141,121,255,255,255
142,219,255,255,255
143,301,255,255,255
144,161,255,255,255
145,225,255,255,255
146,138,255,255,255
147,264,255,255,255
148,508,255,255,255
149,247,255,255,255
150,553,255,255,255
