 ,Area,Mean,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,2.009E-5,102.743,58.000,143.600,2.291,0.522,0.000,0.000,NaN,0.022
2,1.854E-5,121.014,58.000,181.652,-7.431,0.561,0.000,0.000,NaN,0.020
3,2.086E-5,117.390,41.269,210.849,17.745,0.492,0.000,0.000,NaN,0.023
4,1.700E-5,117.004,49.000,180.143,-5.440,0.621,0.000,0.000,NaN,0.019
5,1.545E-5,135.541,45.000,214.687,-27.897,0.679,0.000,0.000,NaN,0.017
6,1.777E-5,118.644,47.000,169.062,-35.838,0.586,0.000,0.000,NaN,0.020
7,1.854E-5,134.725,52.000,225.371,-39.806,0.549,0.000,0.000,NaN,0.021
8,1.468E-5,117.163,55.000,164.500,-38.157,0.753,0.000,0.000,NaN,0.016
9,1.468E-5,147.421,72.000,189.000,-90.000,0.737,0.000,0.000,NaN,0.016
10,1.622E-5,124.996,49.000,202.960,-45.000,0.673,0.000,0.000,NaN,0.017
11,1.313E-5,99.353,50.000,134.000,0.000,0.834,0.000,0.000,NaN,0.014
12,2.009E-5,105.559,48.000,161.592,-23.499,0.519,0.000,0.000,NaN,0.022
13,1.700E-5,145.831,53.000,231.857,-87.274,0.625,0.000,0.000,NaN,0.018
14,1.391E-5,124.642,67.000,178.619,-154.983,0.826,0.000,0.000,NaN,0.015
15,1.545E-5,123.171,91.842,166.526,8.973,0.679,0.000,0.000,NaN,0.017
16,1.932E-5,113.325,58.000,143.250,-97.125,0.537,0.000,0.000,NaN,0.021
17,1.391E-5,121.442,65.000,155.412,-115.017,0.826,0.000,0.000,NaN,0.015
18,1.622E-5,127.642,73.000,150.240,-126.870,0.660,0.000,0.000,NaN,0.018
19,1.159E-5,157.758,71.000,222.724,-53.973,1.000,0.000,0.000,NaN,0.012
20,1.236E-5,126.158,56.000,181.689,-47.726,0.910,0.000,0.000,NaN,0.013
21,1.313E-5,129.233,74.000,205.484,-145.305,0.855,0.000,0.000,NaN,0.014
22,1.545E-5,134.366,71.000,162.155,-126.254,0.726,0.000,0.000,NaN,0.016
23,1.391E-5,117.308,57.000,184.837,-32.735,0.817,0.000,0.000,NaN,0.015
24,1.313E-5,132.153,60.000,197.750,-135.000,0.883,0.000,0.000,NaN,0.014
25,1.159E-5,135.333,67.000,174.265,-39.289,0.933,0.000,0.000,NaN,0.012
26,1.545E-5,128.906,61.000,180.709,-47.121,0.689,0.000,0.000,NaN,0.017
27,1.777E-5,146.816,60.000,218.000,-144.162,0.586,0.000,0.000,NaN,0.020
28,1.545E-5,170.611,68.000,247.474,-101.889,0.667,0.000,0.000,NaN,0.017
29,1.236E-5,113.162,44.000,166.400,-7.595,0.878,0.000,0.000,NaN,0.013
30,2.318E-5,114.305,61.693,207.396,-38.047,0.442,0.000,0.000,NaN,0.026
31,2.009E-5,93.274,61.000,135.322,-138.180,0.503,0.000,0.000,NaN,0.022
32,1.854E-5,122.572,77.000,153.826,-2.490,0.569,0.000,0.000,NaN,0.020
33,1.313E-5,140.502,72.000,183.117,-145.305,0.855,0.000,0.000,NaN,0.014
34,1.159E-5,162.623,86.000,220.694,-126.027,1.000,0.000,0.000,NaN,0.012
35,1.700E-5,133.761,89.000,166.778,-63.435,0.613,0.000,0.000,NaN,0.019
36,2.009E-5,109.049,48.500,153.300,31.759,0.536,0.000,0.000,NaN,0.022
37,2.241E-5,127.484,70.500,185.724,-83.774,0.476,0.000,0.000,NaN,0.024
38,1.777E-5,140.413,46.970,189.380,-25.974,0.614,0.000,0.000,NaN,0.019
39,1.622E-5,122.363,49.000,171.477,-11.592,0.666,0.000,0.000,NaN,0.017
40,1.468E-5,118.397,81.500,150.778,-124.592,0.770,0.000,0.000,NaN,0.015
41,1.468E-5,117.160,48.000,156.398,-37.185,0.721,0.000,0.000,NaN,0.016
42,1.004E-5,148.072,104.000,190.785,-139.899,1.000,0.000,0.000,NaN,0.011
43,1.622E-5,111.167,75.250,143.750,-90.000,0.660,0.000,0.000,NaN,0.018
44,1.313E-5,181.630,101.000,244.906,-131.186,0.840,0.000,0.000,NaN,0.014
45,1.700E-5,142.367,67.500,200.510,-127.405,0.604,0.000,0.000,NaN,0.019
46,1.236E-5,130.325,84.000,150.440,23.962,0.921,0.000,0.000,NaN,0.013
47,1.468E-5,95.360,71.623,136.420,-140.599,0.727,0.000,0.000,NaN,0.016
48,1.236E-5,145.192,87.000,194.600,-60.018,0.893,0.000,0.000,NaN,0.013
49,1.159E-5,125.910,94.750,151.939,-92.121,1.000,0.000,0.000,NaN,0.012
50,2.163E-5,137.493,90.000,200.877,-54.834,0.486,0.000,0.000,NaN,0.024
51,1.622E-5,150.018,65.000,190.600,-59.534,0.678,0.000,0.000,NaN,0.017
52,2.086E-5,133.165,60.445,216.679,-37.972,0.502,0.000,0.000,NaN,0.023
53,1.700E-5,88.071,63.417,125.169,-23.682,0.642,0.000,0.000,NaN,0.018
54,1.622E-5,97.172,52.333,124.500,-125.311,0.686,0.000,0.000,NaN,0.017
55,1.622E-5,153.946,41.083,212.101,-40.292,0.653,0.000,0.000,NaN,0.018
56,1.545E-5,125.549,60.000,173.731,-18.435,0.698,0.000,0.000,NaN,0.017
57,2.009E-5,93.860,47.000,138.920,-53.130,0.523,0.000,0.000,NaN,0.022
58,1.700E-5,111.610,50.714,156.286,-46.975,0.657,0.000,0.000,NaN,0.018
59,1.313E-5,129.573,43.000,227.000,-137.490,0.806,0.000,0.000,NaN,0.014
60,1.545E-5,117.559,79.000,130.374,-42.879,0.689,0.000,0.000,NaN,0.017
61,2.086E-5,121.302,44.000,177.615,-98.746,0.490,0.000,0.000,NaN,0.023
62,1.545E-5,127.317,58.000,154.679,-34.509,0.667,0.000,0.000,NaN,0.017
63,1.545E-5,138.660,57.000,165.277,-115.201,0.712,0.000,0.000,NaN,0.017
64,1.391E-5,131.028,59.000,184.239,-154.983,0.826,0.000,0.000,NaN,0.015
65,9.271E-6,173.621,119.000,210.818,-105.255,1.000,0.000,0.000,NaN,0.010
66,1.854E-5,115.160,64.000,151.572,-106.113,0.550,0.000,0.000,NaN,0.021
67,2.086E-5,104.035,51.000,178.024,-33.389,0.489,0.000,0.000,NaN,0.023
68,1.468E-5,83.771,49.500,110.844,-34.592,0.770,0.000,0.000,NaN,0.015
69,2.241E-5,121.908,48.000,193.571,6.116,0.460,0.000,0.000,NaN,0.025
70,2.009E-5,117.705,42.000,171.320,-43.363,0.533,0.000,0.000,NaN,0.022
71,2.086E-5,107.068,55.500,138.565,-56.611,0.489,0.000,0.000,NaN,0.023
72,1.700E-5,111.905,41.000,155.918,18.435,0.654,0.000,0.000,NaN,0.018
73,1.545E-5,99.246,52.500,139.289,-150.068,0.693,0.000,0.000,NaN,0.017
74,1.468E-5,106.471,62.000,179.664,-142.815,0.721,0.000,0.000,NaN,0.016
75,1.545E-5,135.422,57.688,208.171,-42.274,0.728,0.000,0.000,NaN,0.016
76,1.622E-5,164.577,99.000,207.400,-45.000,0.673,0.000,0.000,NaN,0.017
77,1.391E-5,142.875,79.000,216.305,-49.764,0.780,0.000,0.000,NaN,0.015
78,1.854E-5,156.891,92.526,234.919,-28.811,0.579,0.000,0.000,NaN,0.020
79,1.700E-5,188.647,147.000,219.490,-121.430,0.621,0.000,0.000,NaN,0.019
80,1.468E-5,201.692,121.000,246.284,-38.157,0.753,0.000,0.000,NaN,0.016
81,1.545E-5,168.868,96.000,213.418,-47.121,0.689,0.000,0.000,NaN,0.017
82,1.777E-5,195.617,100.045,252.273,-172.235,0.586,0.000,0.000,NaN,0.020
83,1.082E-5,198.839,131.000,240.698,-161.565,1.000,0.000,0.000,NaN,0.011
84,2.472E-5,176.323,100.000,246.128,-165.069,0.417,0.000,0.000,NaN,0.027
85,1.622E-5,174.624,102.000,250.780,-156.038,0.680,0.000,0.000,NaN,0.017
86,1.777E-5,180.700,102.545,224.545,10.305,0.578,0.000,0.000,NaN,0.020
87,1.545E-5,173.530,92.000,254.114,-71.565,0.698,0.000,0.000,NaN,0.017
88,1.004E-5,201.462,109.000,255.000,180.000,1.000,0.000,0.000,NaN,0.011
89,2.086E-5,185.000,99.154,255.000,-147.529,0.499,0.000,0.000,NaN,0.023
90,1.313E-5,160.673,89.000,209.500,-39.806,0.876,0.000,0.000,NaN,0.014
91,1.313E-5,161.765,86.375,218.500,7.125,0.822,0.000,0.000,NaN,0.014
92,1.854E-5,158.952,85.609,216.217,-45.000,0.589,0.000,0.000,NaN,0.020
93,2.009E-5,185.204,90.293,222.600,-151.390,0.520,0.000,0.000,NaN,0.022
94,1.391E-5,166.920,92.000,222.180,-45.000,0.785,0.000,0.000,NaN,0.015
95,1.236E-5,184.025,105.000,242.320,-156.801,0.867,0.000,0.000,NaN,0.013
96,2.009E-5,161.319,82.000,231.755,-75.964,0.534,0.000,0.000,NaN,0.022
97,1.468E-5,182.071,89.000,250.333,-33.690,0.735,0.000,0.000,NaN,0.016
98,1.932E-5,151.082,73.125,225.000,-33.024,0.552,0.000,0.000,NaN,0.021
99,2.241E-5,163.394,99.357,231.625,-139.399,0.476,0.000,0.000,NaN,0.024
100,2.086E-5,150.656,70.595,231.793,-32.082,0.488,0.000,0.000,NaN,0.023
101,1.932E-5,159.513,93.111,231.322,-101.155,0.540,0.000,0.000,NaN,0.021
102,2.627E-5,130.405,78.250,152.033,-37.042,0.388,0.000,0.000,NaN,0.029
103,2.318E-5,140.683,111.685,183.556,-111.801,0.457,0.000,0.000,NaN,0.025
104,1.932E-5,157.040,86.000,210.562,-138.965,0.552,0.000,0.000,NaN,0.021
105,1.622E-5,144.130,82.500,216.050,-112.150,0.638,0.000,0.000,NaN,0.018
106,2.704E-5,136.644,70.826,191.232,-51.030,0.388,0.000,0.000,NaN,0.030
107,9.271E-6,131.779,83.083,209.818,-42.510,1.000,0.000,0.000,NaN,0.010
108,2.009E-5,145.851,93.556,170.869,-149.036,0.512,0.000,0.000,NaN,0.022
109,3.322E-5,150.084,99.917,180.790,-8.130,0.300,0.000,0.000,NaN,0.037
110,1.236E-5,195.846,108.833,255.000,-38.853,0.847,0.000,0.000,NaN,0.014
111,1.236E-5,162.942,94.694,212.954,-40.462,0.906,0.000,0.000,NaN,0.013
112,1.700E-5,138.995,83.000,177.748,-25.346,0.625,0.000,0.000,NaN,0.018
113,1.468E-5,157.475,118.000,193.556,-34.592,0.770,0.000,0.000,NaN,0.015
114,2.163E-5,145.106,91.013,196.756,-25.602,0.497,0.000,0.000,NaN,0.023
115,8.499E-6,167.016,102.500,199.675,32.905,1.000,0.000,0.000,NaN,0.009
116,2.086E-5,164.773,94.000,203.173,-165.426,0.508,0.000,0.000,NaN,0.023
117,9.271E-6,148.384,125.000,171.372,-45.000,1.000,0.000,0.000,NaN,0.009
118,7.726E-6,159.017,122.500,190.000,-109.440,1.000,0.000,0.000,NaN,0.008
119,1.468E-5,121.085,92.210,148.278,-133.877,0.734,0.000,0.000,NaN,0.016
120,2.009E-5,163.137,101.000,225.011,-31.759,0.536,0.000,0.000,NaN,0.022
121,1.777E-5,185.405,102.000,231.636,-133.152,0.601,0.000,0.000,NaN,0.019
122,1.777E-5,184.694,113.000,235.880,-125.838,0.586,0.000,0.000,NaN,0.020
123,2.550E-5,151.243,96.000,188.703,-18.435,0.415,0.000,0.000,NaN,0.028
124,1.545E-5,184.758,94.000,234.476,-137.121,0.689,0.000,0.000,NaN,0.017
125,1.159E-5,191.054,96.000,230.939,-135.000,0.942,0.000,0.000,NaN,0.012
126,1.777E-5,135.684,101.000,173.397,-32.276,0.572,0.000,0.000,NaN,0.020
127,1.468E-5,163.693,77.000,228.559,-45.000,0.706,0.000,0.000,NaN,0.016
