NumberOfNuclei,StampCondition,rep
24,12.5,1
6,12.5,1
3,12.5,1
15,12.5,1
19,12.5,1
7,12.5,1
39,12.5,1
5,12.5,1
4,12.5,1
50,12.5,1
1,12.5,1
5,12.5,1
18,12.5,1
8,12.5,1
4,12.5,1
15,12.5,1
13,12.5,1
1,12.5,1
1,12.5,1
1,12.5,1
16,12.5,1
11,12.5,1
6,12.5,1
2,12.5,1
7,12.5,1
5,12.5,1
3,12.5,1
2,12.5,1
1,12.5,1
3,12.5,1
1,12.5,2
4,12.5,2
7,12.5,2
2,12.5,2
8,12.5,2
4,12.5,2
22,12.5,2
26,12.5,2
9,12.5,2
41,12.5,2
59,12.5,2
37,12.5,2
61,12.5,2
11,12.5,2
18,12.5,2
49,12.5,2
8,12.5,2
1,12.5,2
6,12.5,2
11,12.5,2
17,12.5,2
3,12.5,2
17,12.5,2
1,12.5,2
11,12.5,2
14,12.5,2
3,12.5,2
1,12.5,2
1,12.5,3
3,12.5,3
7,12.5,3
4,12.5,3
4,12.5,3
3,12.5,3
19,12.5,3
19,12.5,3
48,12.5,3
83,12.5,3
1,12.5,3
8,12.5,3
6,12.5,3
15,12.5,3
1,12.5,3
2,12.5,3
4,12.5,3
9,12.5,3
15,12.5,3
4,12.5,3
21,12.5,3
9,12.5,3
23,12.5,3
1,12.5,3
3,12.5,3
2,12.5,3
1,12.5,3
4,12.5,3
9,12.5,3
15,12.5,3
11,12.5,3
1,12.5,3
4,12.5,3
2,12.5,3
13,12.5,3
5,12.5,3
2,12.5,3
1,12.5,3
3,12.5,3
1,12.5,3
15,25,1
4,25,1
1,25,1
2,25,1
11,25,1
2,25,1
8,25,1
17,25,1
0,25,1
18,25,1
13,25,1
10,25,1
18,25,1
20,25,1
3,25,1
29,25,1
7,25,1
11,25,1
1,25,1
4,25,1
2,25,1
1,25,1
28,25,1
2,25,1
2,25,1
1,25,1
1,25,1
3,25,1
1,25,1
2,25,1
40,25,2
19,25,2
51,25,2
57,25,2
23,25,2
4,25,2
17,25,2
14,25,2
6,25,2
30,25,2
4,25,2
4,25,2
6,25,2
7,25,2
10,25,3
1,25,3
1,25,3
3,25,3
1,25,3
15,25,3
4,25,3
25,25,3
9,25,3
1,25,3
11,25,3
13,25,3
16,25,3
4,25,3
1,25,3
17,25,3
36,25,3
1,25,3
22,25,3
8,25,3
9,25,3
5,25,3
2,25,3
10,25,3
0,25,3
1,25,3
21,62.5,1
2,62.5,1
2,62.5,1
22,62.5,1
1,62.5,1
3,62.5,1
2,62.5,1
19,62.5,1
50,62.5,1
3,62.5,1
1,62.5,1
0,62.5,1
2,62.5,1
17,62.5,1
6,62.5,1
2,62.5,1
5,62.5,1
1,62.5,1
0,62.5,1
59,62.5,1
4,62.5,1
7,62.5,1
0,62.5,1
2,62.5,1
17,62.5,1
1,62.5,1
11,62.5,1
4,62.5,1
7,62.5,1
2,62.5,1
13,62.5,1
2,62.5,1
0,62.5,1
3,62.5,2
15,62.5,2
19,62.5,2
0,62.5,2
1,62.5,2
1,62.5,2
18,62.5,2
3,62.5,2
7,62.5,2
6,62.5,2
2,62.5,2
9,62.5,2
2,62.5,2
0,62.5,2
10,62.5,2
3,62.5,2
10,62.5,2
2,62.5,2
1,62.5,2
7,62.5,2
4,62.5,2
1,62.5,2
3,62.5,2
1,62.5,2
2,62.5,2
2,62.5,2
10,62.5,2
5,62.5,2
9,62.5,2
1,62.5,2
7,62.5,2
7,62.5,2
1,62.5,2
12,62.5,2
2,62.5,2
7,62.5,2
5,62.5,2
4,62.5,2
6,62.5,2
2,62.5,2
5,62.5,2
6,62.5,2
5,62.5,2
8,62.5,2
1,62.5,2
8,62.5,2
2,62.5,2
6,62.5,2
4,62.5,2
