Angle,rep,category,condition
0.0,1.0,grooved,12pt5
0.0,1.0,grooved,12pt5
0.0,1.0,grooved,12pt5
0.0,1.0,grooved,12pt5
0.0,1.0,grooved,12pt5
2.02247191,1.0,grooved,12pt5
2.02247191,1.0,grooved,12pt5
2.02247191,1.0,grooved,12pt5
2.02247191,1.0,grooved,12pt5
4.04494382,1.0,grooved,12pt5
4.04494382,1.0,grooved,12pt5
4.04494382,1.0,grooved,12pt5
4.04494382,1.0,grooved,12pt5
6.06741573,1.0,grooved,12pt5
6.06741573,1.0,grooved,12pt5
6.06741573,1.0,grooved,12pt5
6.06741573,1.0,grooved,12pt5
6.06741573,1.0,grooved,12pt5
8.08988764,1.0,grooved,12pt5
8.08988764,1.0,grooved,12pt5
8.08988764,1.0,grooved,12pt5
8.08988764,1.0,grooved,12pt5
8.08988764,1.0,grooved,12pt5
10.112359551,1.0,grooved,12pt5
10.112359551,1.0,grooved,12pt5
10.112359551,1.0,grooved,12pt5
10.112359551,1.0,grooved,12pt5
12.134831461,1.0,grooved,12pt5
12.134831461,1.0,grooved,12pt5
12.134831461,1.0,grooved,12pt5
12.134831461,1.0,grooved,12pt5
12.134831461,1.0,grooved,12pt5
14.157303371,1.0,grooved,12pt5
14.157303371,1.0,grooved,12pt5
14.157303371,1.0,grooved,12pt5
14.157303371,1.0,grooved,12pt5
14.157303371,1.0,grooved,12pt5
16.179775281,1.0,grooved,12pt5
16.179775281,1.0,grooved,12pt5
16.179775281,1.0,grooved,12pt5
16.179775281,1.0,grooved,12pt5
16.179775281,1.0,grooved,12pt5
18.202247191,1.0,grooved,12pt5
18.202247191,1.0,grooved,12pt5
18.202247191,1.0,grooved,12pt5
18.202247191,1.0,grooved,12pt5
18.202247191,1.0,grooved,12pt5
20.224719101,1.0,grooved,12pt5
20.224719101,1.0,grooved,12pt5
20.224719101,1.0,grooved,12pt5
20.224719101,1.0,grooved,12pt5
20.224719101,1.0,grooved,12pt5
22.247191011,1.0,grooved,12pt5
22.247191011,1.0,grooved,12pt5
22.247191011,1.0,grooved,12pt5
22.247191011,1.0,grooved,12pt5
22.247191011,1.0,grooved,12pt5
24.269662921,1.0,grooved,12pt5
24.269662921,1.0,grooved,12pt5
24.269662921,1.0,grooved,12pt5
24.269662921,1.0,grooved,12pt5
24.269662921,1.0,grooved,12pt5
26.292134831,1.0,grooved,12pt5
26.292134831,1.0,grooved,12pt5
26.292134831,1.0,grooved,12pt5
26.292134831,1.0,grooved,12pt5
26.292134831,1.0,grooved,12pt5
26.292134831,1.0,grooved,12pt5
28.314606742,1.0,grooved,12pt5
28.314606742,1.0,grooved,12pt5
28.314606742,1.0,grooved,12pt5
28.314606742,1.0,grooved,12pt5
28.314606742,1.0,grooved,12pt5
28.314606742,1.0,grooved,12pt5
30.337078652,1.0,grooved,12pt5
30.337078652,1.0,grooved,12pt5
30.337078652,1.0,grooved,12pt5
30.337078652,1.0,grooved,12pt5
30.337078652,1.0,grooved,12pt5
30.337078652,1.0,grooved,12pt5
32.359550562,1.0,grooved,12pt5
32.359550562,1.0,grooved,12pt5
32.359550562,1.0,grooved,12pt5
32.359550562,1.0,grooved,12pt5
32.359550562,1.0,grooved,12pt5
32.359550562,1.0,grooved,12pt5
34.382022472,1.0,grooved,12pt5
34.382022472,1.0,grooved,12pt5
34.382022472,1.0,grooved,12pt5
34.382022472,1.0,grooved,12pt5
34.382022472,1.0,grooved,12pt5
34.382022472,1.0,grooved,12pt5
36.404494382,1.0,grooved,12pt5
36.404494382,1.0,grooved,12pt5
36.404494382,1.0,grooved,12pt5
36.404494382,1.0,grooved,12pt5
36.404494382,1.0,grooved,12pt5
36.404494382,1.0,grooved,12pt5
36.404494382,1.0,grooved,12pt5
38.426966292,1.0,grooved,12pt5
38.426966292,1.0,grooved,12pt5
38.426966292,1.0,grooved,12pt5
38.426966292,1.0,grooved,12pt5
38.426966292,1.0,grooved,12pt5
38.426966292,1.0,grooved,12pt5
38.426966292,1.0,grooved,12pt5
40.449438202,1.0,grooved,12pt5
40.449438202,1.0,grooved,12pt5
40.449438202,1.0,grooved,12pt5
40.449438202,1.0,grooved,12pt5
40.449438202,1.0,grooved,12pt5
40.449438202,1.0,grooved,12pt5
40.449438202,1.0,grooved,12pt5
42.471910112,1.0,grooved,12pt5
42.471910112,1.0,grooved,12pt5
42.471910112,1.0,grooved,12pt5
42.471910112,1.0,grooved,12pt5
42.471910112,1.0,grooved,12pt5
42.471910112,1.0,grooved,12pt5
42.471910112,1.0,grooved,12pt5
44.494382022,1.0,grooved,12pt5
44.494382022,1.0,grooved,12pt5
44.494382022,1.0,grooved,12pt5
44.494382022,1.0,grooved,12pt5
44.494382022,1.0,grooved,12pt5
44.494382022,1.0,grooved,12pt5
44.494382022,1.0,grooved,12pt5
44.494382022,1.0,grooved,12pt5
46.516853933,1.0,grooved,12pt5
46.516853933,1.0,grooved,12pt5
46.516853933,1.0,grooved,12pt5
46.516853933,1.0,grooved,12pt5
46.516853933,1.0,grooved,12pt5
46.516853933,1.0,grooved,12pt5
46.516853933,1.0,grooved,12pt5
46.516853933,1.0,grooved,12pt5
48.539325843,1.0,grooved,12pt5
48.539325843,1.0,grooved,12pt5
48.539325843,1.0,grooved,12pt5
48.539325843,1.0,grooved,12pt5
48.539325843,1.0,grooved,12pt5
48.539325843,1.0,grooved,12pt5
48.539325843,1.0,grooved,12pt5
48.539325843,1.0,grooved,12pt5
50.561797753,1.0,grooved,12pt5
50.561797753,1.0,grooved,12pt5
50.561797753,1.0,grooved,12pt5
50.561797753,1.0,grooved,12pt5
50.561797753,1.0,grooved,12pt5
50.561797753,1.0,grooved,12pt5
50.561797753,1.0,grooved,12pt5
50.561797753,1.0,grooved,12pt5
52.584269663,1.0,grooved,12pt5
52.584269663,1.0,grooved,12pt5
52.584269663,1.0,grooved,12pt5
52.584269663,1.0,grooved,12pt5
52.584269663,1.0,grooved,12pt5
52.584269663,1.0,grooved,12pt5
52.584269663,1.0,grooved,12pt5
52.584269663,1.0,grooved,12pt5
52.584269663,1.0,grooved,12pt5
54.606741573,1.0,grooved,12pt5
54.606741573,1.0,grooved,12pt5
54.606741573,1.0,grooved,12pt5
54.606741573,1.0,grooved,12pt5
54.606741573,1.0,grooved,12pt5
54.606741573,1.0,grooved,12pt5
54.606741573,1.0,grooved,12pt5
54.606741573,1.0,grooved,12pt5
54.606741573,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
56.629213483,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
58.651685393,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
60.674157303,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
62.696629213,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
64.719101124,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
66.741573034,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
68.764044944,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
70.786516854,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
72.808988764,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
74.831460674,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
76.853932584,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
78.876404494,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
80.898876404,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
82.921348315,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
84.943820225,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
86.966292135,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
88.988764045,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
91.011235955,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
93.033707865,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
95.056179775,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
97.078651685,1.0,grooved,12pt5
99.101123596,1.0,grooved,12pt5
99.101123596,1.0,grooved,12pt5
99.101123596,1.0,grooved,12pt5
99.101123596,1.0,grooved,12pt5
99.101123596,1.0,grooved,12pt5
99.101123596,1.0,grooved,12pt5
99.101123596,1.0,grooved,12pt5
